record_type,dataset_slug,display_name_en,display_name_zh,logical_dataset_id,physical_dataset_ids_json,physical_source_files_json,target_id,label_type,label_unit,readiness_status,artifact_status,license_id,row_count,content_sha256,release_path,metadata_path,source_links_path
model-ready,ahneman-c-n-cross-coupling-yield-percent,Ahneman C-N Cross-Coupling Yield (%),Ahneman C-N 交叉偶联产率（%）,physical_46ff9a32d9e04016b9380b1b1ef949c3,"[""ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3""]","[""data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet""]",ahneman_yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,active_generated_pending_release_validation,staged,CC-BY-SA-4.0,4312,6a912585bb987ab698e2502585e1927403c372e10d8e3bcf8ce26f93c4021acf,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/metadata.json,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/source-links.json
model-ready,asymmetric-alkylation-ee-s-minus-r-percent,"Asymmetric Alkylation ee (S-R, %)",不对称烷基化 ee（S-R，%）,physical_c5b00523487a4211a194160edf45e9ab,"[""ord_dataset-c5b00523487a4211a194160edf45e9ab""]","[""data/c5/ord_dataset-c5b00523487a4211a194160edf45e9ab.parquet""]",asymmetric_alkylation_ee_s_minus_r_percent,signed_enantiomeric_excess_s_minus_r_percent,"percentage points, S minus R",generated_adapter_blocked,staged,CC-BY-SA-4.0,1430,a589fdfe1f90e655bd9193983aa92264e0b86bfdb017c04836b5b933edc429c7,datasets/model-ready/asymmetric-alkylation-ee-s-minus-r-percent,datasets/model-ready/asymmetric-alkylation-ee-s-minus-r-percent/metadata.json,datasets/model-ready/asymmetric-alkylation-ee-s-minus-r-percent/source-links.json
model-ready,cernak-reductive-amination-conversion-percent,Cernak Reductive-Amination Conversion (%),Cernak 还原胺化转化率（%）,lit_10_1038_s44160_023_00351_1,"[""ord_dataset-2be11f57f3304e678ea8469baf6dd1bc""]","[""data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet""]",cernak_member_2be11_conversion_percent,conversion_percent,percent conversion,generated_pending_campaign_evaluation,staged,CC-BY-SA-4.0,1152,0d25125e1cf707c839b93106b8131f8a836938b8d416e37698610f5bf8ee965e,datasets/model-ready/cernak-reductive-amination-conversion-percent,datasets/model-ready/cernak-reductive-amination-conversion-percent/metadata.json,datasets/model-ready/cernak-reductive-amination-conversion-percent/source-links.json
model-ready,cernak-suzuki-coupling-conversion-percent,Cernak Suzuki-Coupling Conversion (%),Cernak Suzuki 偶联转化率（%）,lit_10_1038_s44160_023_00351_1,"[""ord_dataset-3b8a2ef300e145468579027f206a3ac8""]","[""data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet""]",cernak_member_3b8a2e_conversion_percent,conversion_percent,percent conversion,generated_pending_campaign_evaluation,staged,CC-BY-SA-4.0,1320,df6c85864b54120438f2fa0163bb5da00d7cc80ca1082499640b4b1bcae96ca9,datasets/model-ready/cernak-suzuki-coupling-conversion-percent,datasets/model-ready/cernak-suzuki-coupling-conversion-percent/metadata.json,datasets/model-ready/cernak-suzuki-coupling-conversion-percent/source-links.json
model-ready,cernak-ultra-hte-c-n-yield-percent,Cernak Ultra-HTE C-N Yield (%),Cernak 超高通量 C-N 产率（%）,physical_805ad863feef48579d95d86a728035f4,"[""ord_dataset-805ad863feef48579d95d86a728035f4""]","[""data/80/ord_dataset-805ad863feef48579d95d86a728035f4.parquet""]",c_n_yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,generated_pending_campaign_evaluation,staged,CC-BY-SA-4.0,50668,ba845e82bb3701469aadf172a7457c64354b1e7d6f8e2ab1aad2b96c2445a012,datasets/model-ready/cernak-ultra-hte-c-n-yield-percent,datasets/model-ready/cernak-ultra-hte-c-n-yield-percent/metadata.json,datasets/model-ready/cernak-ultra-hte-c-n-yield-percent/source-links.json
model-ready,chan-lam-sulfonamide-coupling-yield-percent,Chan-Lam Sulfonamide-Coupling Yield (%),Chan-Lam 磺酰胺偶联产率（%）,physical_5c9a10329a8a48968d18879a48bb8ab2,"[""ord_dataset-5c9a10329a8a48968d18879a48bb8ab2""]","[""data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet""]",chan_lam_yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,generated_pending_campaign_evaluation,staged,CC-BY-SA-4.0,9602,648de1e73169feca1cc221f1f53858c11918f91c4f959e206f1a8a66ff4b482b,datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent,datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent/metadata.json,datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent/source-links.json
model-ready,chemrxiv-aniline-amidation-yield-percent,ChemRxiv Aniline-Amidation Yield (%),ChemRxiv 苯胺酰胺化产率（%）,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,"[""ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5""]","[""data/7a/ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5.parquet""]",chemrxiv_amide_yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,active_generated_pending_release_validation,staged,CC-BY-SA-4.0,957,90c762cff7defe31e7e45d35406df595d094186a0b35b05b0f799cfe66411f72,datasets/model-ready/chemrxiv-aniline-amidation-yield-percent,datasets/model-ready/chemrxiv-aniline-amidation-yield-percent/metadata.json,datasets/model-ready/chemrxiv-aniline-amidation-yield-percent/source-links.json
model-ready,chemrxiv-imidazole-c-h-arylation-yield-percent,ChemRxiv Imidazole C-H Arylation Yield (%),ChemRxiv 咪唑 C-H 芳基化产率（%）,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,"[""ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08""]","[""data/67/ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08.parquet""]",chemrxiv_ch_arylation_yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,active_generated_pending_release_validation,staged,CC-BY-SA-4.0,1529,3d11901429869a5875d98ec4feec8239efbfa121c59d750a9bf8c04612906f7d,datasets/model-ready/chemrxiv-imidazole-c-h-arylation-yield-percent,datasets/model-ready/chemrxiv-imidazole-c-h-arylation-yield-percent/metadata.json,datasets/model-ready/chemrxiv-imidazole-c-h-arylation-yield-percent/source-links.json
model-ready,flow-catechol-product-2-response-percent,Flow Catechol Product 2 HPLC Response (%),连续流儿茶酚产物 2 HPLC 响应（%）,physical_1ec2807f02fa4beda27d2a81b86eb843,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",catechol_product_2_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,research_only_benchmark_blocked,staged,CC-BY-SA-4.0,1227,d1a09d05fb70c93c221438761893f5f71f6390f94c49bef3973a42bcd9308c84,datasets/model-ready/flow-catechol-product-2-response-percent,datasets/model-ready/flow-catechol-product-2-response-percent/metadata.json,datasets/model-ready/flow-catechol-product-2-response-percent/source-links.json
model-ready,flow-catechol-product-3-response-percent,Flow Catechol Product 3 HPLC Response (%),连续流儿茶酚产物 3 HPLC 响应（%）,physical_1ec2807f02fa4beda27d2a81b86eb843,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",catechol_product_3_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,research_only_benchmark_blocked,staged,CC-BY-SA-4.0,1227,5cc90e232268be1fc5e15330039927b90a13a4444df2347987d312612ea771d2,datasets/model-ready/flow-catechol-product-3-response-percent,datasets/model-ready/flow-catechol-product-3-response-percent/metadata.json,datasets/model-ready/flow-catechol-product-3-response-percent/source-links.json
