reactant-1,reactant-2,reagent-1,reagent-2,reagent-3,catalyst-1,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,temperature_c,reaction_time_s,conversion_percent
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1ccc(C=O)cc1C,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,33.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,N#Cc1ccc(C=O)cc1Br,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,CC(=O)N(C)C,22.0,64800.0,100.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1ccc(C=O)cc1C,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,39.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1cc(C=O)on1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,97.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cc1noc(C2CC2)c1C=O,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,70.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,COc1ccc2cc(C=O)sc2c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,91.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CN(C)c1ccc(C=O)c(F)c1C#N,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,83.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCC(n2cccn2)C1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,1.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCN(c2ccc(F)c(F)c2)CC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=Cc1ccccc1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,73.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CN1CCOc2cc(C=O)ccc21,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,65.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CC(=O)c1cc(C)cc(C)c1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,0.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCCC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,1.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1CCCC1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,2.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Cn1nc(C=O)nc1-c1ccccn1,CC(=O)O,CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-].[Ti+4],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,CN1CCCC1=O,22.0,64800.0,100.0
