reactant-1,reactant-2,reagent-1,reagent-2,reagent-3,catalyst-1,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,reaction_time_s,reflux_value,conditions_are_dynamic_value,conversion_percent
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,100.0
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,0.0
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,OB(O)c1cccnc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,33.94917678833008
CC(=O)NC(C)(C)[C@@H]1CC2(CCN(C(=O)OC(C)(C)C)CC2)c2cc(Cl)c(C)cc21,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,100.0
CCn1c(=O)c2c(nc(N[C@@H]3CCC[C@H]3O)n2Cc2ccc(OC)c(Br)c2)n(CCO)c1=O,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,3.321915626525879
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2cn(S(=O)(=O)c3ccccc3)c3ncccc23)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,51.97136306762695
Ic1c[nH]c2ncccc12,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,39.095638275146484
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Br)cnc32)CC1,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,97.62953186035156
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,O=C(NC1CCCC1)c1ccc(B(O)O)cc1,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,0.0
CN1C(=O)C[C@@](C)(c2cc(Br)cs2)N/C1=N/C(=O)OC(C)(C)C,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C2CCCCC2)(C2CCCCC2)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,62.34154510498047
O=C(NCc1ccc(F)cc1)c1nc(Br)c2cccnc2c1O,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[PH](C1CCCCC1)(C1CCCCC1)[Pd]1([O]S(C)(=O)=O)[NH]c2ccccc2-c2cccc[c]21,CS(C)=O,O,CS(C)=O,CS(C)=O,O,,,79200.0,0.0,0.0,0.0
O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1,CC1(C)OB(c2cnc(-n3cccn3)nc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
CCCc1nc2ccc(I)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)(C)C)cc1,CC1(C)OB(C2=CCCCC2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,100.0
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,CC1(C)OB(c2ccc(-c3cnccn3)cc2)OC1(C)C,,,,CC(C)c1cc(C(C)C)c(-c2ccccc2[PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)c(C(C)C)c1,CS(C)=O,O,CS(C)=O,CS(C)=O,CS(C)=O,,,79200.0,0.0,0.0,0.0
O=C1NCCc2[nH]c(-c3ccnc(Br)c3)cc21,CC1(C)OB(c2cccc(C3(NC(=O)OCc4ccccc4)CC3)c2)OC1(C)C,,,,CN(C)c1ccc([PH](C(C)(C)C)(C(C)(C)C)[Pd]2([O]S(C)(=O)=O)[NH]c3ccccc3-c3cccc[c]32)cc1,CS(C)=O,O,CS(C)=O,CS(C)=O,CCC(C)(C)O,,,79200.0,0.0,0.0,27.76525115966797
