reaction_key,physical_dataset_id,source_row_index,label_decision_id,exclusion_reason
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-01510da058f3438580433a7a72174a72,ord_dataset-3b8a2ef300e145468579027f206a3ac8,154,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-037a0366cb06465498b07de95257797f,ord_dataset-3b8a2ef300e145468579027f206a3ac8,200,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-03f12677657a40a8ae87e2d58b841920,ord_dataset-3b8a2ef300e145468579027f206a3ac8,162,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-0683f951944b41a69201506777894b5d,ord_dataset-3b8a2ef300e145468579027f206a3ac8,125,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-07bb704a7c6e4059aae9bc3c8d21f145,ord_dataset-3b8a2ef300e145468579027f206a3ac8,181,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-0815c10f8adb4a4786dfe285ddb4d462,ord_dataset-3b8a2ef300e145468579027f206a3ac8,207,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-0afbf0055bb244bf960805bb814b0982,ord_dataset-3b8a2ef300e145468579027f206a3ac8,175,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-0c3f3faca80d4fa4864e76de061aeab0,ord_dataset-3b8a2ef300e145468579027f206a3ac8,205,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-0ced4d1cc8d24b83af4e6a16f642689c,ord_dataset-3b8a2ef300e145468579027f206a3ac8,121,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-120c16a4dad0465ba397f8bc1508a2d1,ord_dataset-3b8a2ef300e145468579027f206a3ac8,540,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-12488de5b47f42aeb0ea6ccb168239b7,ord_dataset-3b8a2ef300e145468579027f206a3ac8,134,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-15d4cb74f78b46fab5cb3cf2f1214047,ord_dataset-3b8a2ef300e145468579027f206a3ac8,504,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-19663d7ae3ef4d0cabbc5b5edda5cfa9,ord_dataset-3b8a2ef300e145468579027f206a3ac8,179,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-1c49d59611aa47c7815170ca773a1328,ord_dataset-3b8a2ef300e145468579027f206a3ac8,96,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-1db70526536d4b17a6c7b579be2e7f24,ord_dataset-3b8a2ef300e145468579027f206a3ac8,183,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-1e6b0183a8554689971295b860927fdb,ord_dataset-3b8a2ef300e145468579027f206a3ac8,858,,non_finite_label
ord_dataset-3b8a2ef300e145468579027f206a3ac8:ord-1f30a2aa1e194c05b49d3bf99b197090,ord_dataset-3b8a2ef300e145468579027f206a3ac8,164,,non_finite_label
