reactant-1,reactant-2,reagent-1,catalyst-1,catalyst-2,solvent-1,solvent-2,solvent-3,solvent-4,solvent-5,solvent-6,solvent-7,solvent-8,solvent-9,solvent-10,product,temperature_c,reaction_time_s,yield_percent
FC(F)(F)c1ccc(I)cc1,C1COCCN1,CC(C)(C)[O-].[Na+],CN(C)P(N(C)C)N(C)C,CC1=CC(C)=[O]->[Cu]2([O]1)[O]C(C)=CC(C)=[O]->2,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
Ic1cccnc1,c1ccc(C2CCNCC2)cc1,O=C([O-])[O-].[Cs+],COc1cc(C(c2ccccc2)c2ccccc2)c(N2C=CN(c3c(C(c4ccccc4)c4ccccc4)cc(OC)cc3C(c3ccccc3)c3ccccc3)C2)c(C(c2ccccc2)c2ccccc2)c1,CC(=O)[O][Pd][O]C(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,C[Si](C)(C)[O-].[Na+],C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,CC1=CC(C)=[O]->[Pd]2([O]1)[O]C(C)=CC(C)=[O]->2,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(I)cc1,C1COCCN1,O=C([O-])[O-].[Cs+],CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(=O)[O][Cu],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,80.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,C[O-].[Na+],O=C(N[C@H]1CCCC[C@@H]1NC(=O)c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12)c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12,,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,O=P([O-])([O-])[O-].[K+],CCC(CC)c1cccc(C(CC)CC)c1-n1cc[n+](-c2c(C(CC)CC)cccc2C(CC)CC)c1.[Cl-],C[O]1CC[O](C)->[Ni]<-1([Br])[Br],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,60.0,64800.0,0.0
Ic1cccnc1,c1ccc(C2CCNCC2)cc1,O=C([O-])[O-].[Cs+],O=S(=O)([O-])CCCC[N+]12CN3CN(CP(C3)C1)C2,[Cu][I],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,O=C([O-])[O-].[K+],O=C(O)[C@@H]1C[C@@H](O)CN1,C[O]1CC[O](C)->[Ni]<-1([Br])[Br],CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,C[Si](C)(C)[O-].[Na+],O=C(O)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC#[N]->[Cu+](<-[N]#CC)(<-[N]#CC)<-[N]#CC.O=S(=O)([O-])C(F)(F)F,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,0.0
Ic1cccnc1,c1ccc(C2CCNCC2)cc1,C[Si](C)(C)[O-].[Na+],O=S(=O)([O-])CCCC[N+]12CN3CN(CP(C3)C1)C2,,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,O=P([O-])([O-])[O-].[K+],c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,O=C1[CH](=Cc2ccccc2)->[Pd]2<-[CH](=Cc3ccccc3)C(=O)[CH](=Cc3ccccc3)->[Pd](<-[CH]1=Cc1ccccc1)<-[CH](=Cc1ccccc1)C(=O)[CH]->2=Cc1ccccc1,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,60.0,64800.0,0.0
FC(F)(F)c1ccc(Br)cc1,C1COCCN1,O=P([O-])([O-])[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,30.0,64800.0,0.0
Brc1cccnc1,c1ccc(C2CCNCC2)cc1,CC(C)(C)[O-].[Na+],O=C(NCc1ccco1)C(=O)NCc1ccco1,,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,COCCOCCOC,,,,,,c1ccc(C2CCN(c3cccnc3)CC2)cc1,30.0,64800.0,6.247564792633057
FC(F)(F)c1ccc(I)cc1,C1COCCN1,O=C([O-])[O-].[K+],CNCC(=O)O,,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,CS(C)=O,,,,,,FC(F)(F)c1ccc(N2CCOCC2)cc1,80.0,64800.0,0.6299999952316284
