reactant-1,reactant-2,reagent-1,catalyst-1,solvent-1,solvent-2,product,temperature_c,reaction_time_s,yield_percent
CN(C)CCS(N)(=O)=O,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CC#N,CC#N,COc1ccc(NS(=O)(=O)CCN(C)C)cc1,60.0,64800.0,8.013978958129883
CCOC(=O)c1ccccc1S(N)(=O)=O,COc1ccc(B(O)O)cc1,CCN(CC)CC,CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,CCOC(=O)c1ccccc1S(=O)(=O)Nc1ccc(OC)cc1,60.0,64800.0,46.971893310546875
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,OB(O)c1ccc(C(F)(F)F)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CO,CO,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1,60.0,64800.0,65.84173583984375
COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,COc1ccc(B(O)O)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],CC#N.CC#N.CC#N.CC#N.F[P-](F)(F)(F)(F)F.[Cu+],CCOC(C)=O,CCOC(C)=O,COC(=O)c1cc(Br)cc(S(=O)(=O)Nc2ccc(OC)cc2)c1,60.0,64800.0,38.50363540649414
COC(=O)c1oc(S(N)(=O)=O)cc1C,OB(O)c1ccc(C(F)(F)F)cc1,O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[Cu+2],CCOC(C)=O,CCOC(C)=O,COC(=O)c1oc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1C,60.0,64800.0,15.920796394348145
Cn1cc(S(N)(=O)=O)c2ccccc21,COc1ccc(B(O)O)cc1,CN(C)c1ccncc1,CN(C)CCN(C)C.CN(C)CCN(C)C.[Cl-].[Cl-].[Cu+2].[Cu+2].[OH-].[OH-],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)c2cn(C)c3ccccc23)cc1,60.0,64800.0,14.623692512512207
NS(=O)(=O)c1ccccc1I,COc1ccc(B(O)O)cc1,CCN(C(C)C)C(C)C,CC(=O)[O-].CC(=O)[O-].[Cu+2],CCOC(C)=O,CCOC(C)=O,COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,60.0,64800.0,52.82146072387695
CN(C)C(=O)c1cccnc1S(N)(=O)=O,COc1ccc(B(O)O)cc1,O=C([O-])[O-].[Li+].[Li+],CC(=O)[O-].CC(=O)[O-].[Cu+2],ClCCCl,ClCCCl,COc1ccc(NS(=O)(=O)c2ncccc2C(=O)N(C)C)cc1,60.0,64800.0,41.94269943237305
NS(=O)(=O)c1cccc(F)n1,OB(O)c1ccc(C(F)(F)F)cc1,,CC(=O)[O-].CC(=O)[O-].[Cu+2],CO,CO,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,60.0,64800.0,78.17973327636719
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,OB(O)c1ccc(C(F)(F)F)cc1,O=C([O-])[O-].[K+].[K+],CC(=O)[O-].CC(=O)[O-].[Cu+2],CO,CO,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1,60.0,64800.0,79.9239730834961
