reactant-1,reactant-2,product,temperature_c,reaction_time_s,yield_percent
COCOc1ccc2c(c1)CCCC2,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3c(c2)CCCC3)cc1,80.0,54000.0,92.0
COc1ccc2ccccc2c1,Cc1cc[c]([Zn][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,0.0
CCO[Si](OCC)(OCC)c1ccc(C)cc1,CN(C)C(=O)Oc1ccc2ccccc2c1,Cc1ccc(-c2ccc3ccccc3c2)cc1,120.0,43200.0,0.0
CC(C)(C)OC(=O)Oc1ccc2ccccc2c1,CC(C)[CH2][Al]([CH2]C(C)C)[c]1ccccc1,c1ccc(-c2ccc3ccccc3c2)cc1,25.0,86400.0,51.0
CCN(CC)C(=O)Oc1cccc(OCOC)c1,[Cl][Mg][c]1ccccc1,COCOc1cccc(-c2ccccc2)c1,25.0,57600.0,80.0
CC(C)(C)C(=O)Oc1ccc(C#N)cc1,CC(C)O[PH](=O)OC(C)C,CC(C)OP(=O)(OC(C)C)c1ccc(C#N)cc1,110.0,165600.0,82.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,0.0
CCO[Si](OCC)(OCC)c1ccc(C)cc1,CN(C)C(=O)Oc1ccc2ccccc2c1,Cc1ccc(-c2ccc3ccccc3c2)cc1,120.0,43200.0,0.0
COCOc1ccc2ccccc2c1-c1c(OCOC)ccc2ccccc12,Cc1cc[c]([Mg][Br])cc1,COCOc1ccc2ccccc2c1-c1c(-c2ccc(C)cc2)ccc2ccccc12,66.0,86400.0,82.0
CN(C)C(=O)Oc1cccc(N(C)C)c1,Cn1cnc2ccccc21,CN(C)c1cccc(-c2nc3ccccc3n2C)c1,110.0,43200.0,67.0
COc1ccc2c(c1)CCCC2,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3c(c2)CCCC3)cc1,60.0,21600.0,65.0
CC(=O)Oc1ccc2cc(O)ccc2c1,c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,Oc1ccc2cc(-c3ccccc3)ccc2c1,110.0,43200.0,42.0
CCN(CC)C(=O)Oc1ccccc1,COc1ccc(B(O)O)cc1,COc1ccc(-c2ccccc2)cc1,130.0,86400.0,52.0
CCN(CC)C(=O)Oc1cccc2ccccc12,OB(O)c1ccccc1,c1ccc(-c2cccc3ccccc23)cc1,150.0,45000.0,82.0
CC(=O)Oc1cccc2ccccc12,c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,c1ccc(-c2cccc3ccccc23)cc1,110.0,43200.0,68.0
C1CCCNCC1,CC(C)(C)C(=O)Oc1ccccc1,c1ccc(N2CCCCCC2)cc1,80.0,10800.0,56.0
CC(C)(C)C(=O)Oc1ccc2ccccc2c1,CCCCN=C=O,CCCCNC(=O)c1ccc2ccccc2c1,80.0,86400.0,0.0
CCO[Si](OCC)(OCC)c1cccc(C)c1,CN(C)C(=O)Oc1ccc2ccc(N(C)C)cc2c1,Cc1cccc(-c2ccc3ccc(N(C)C)cc3c2)c1,120.0,43200.0,43.0
CC1(C)COB(B2OCC(C)(C)CO2)OC1,COc1ccc2ccccc2c1,c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,120.0,43200.0,6.0
CCN(CC)C(=O)Oc1cccc(OCOC)c1,C[Si](C)(C)[CH2][Mg][Cl],COCOc1cccc(C[Si](C)(C)C)c1,25.0,57600.0,82.0
COc1ccc2ccccc2c1,Cn1cnc2ccccc21,Cn1c(-c2ccc3ccccc3c2)nc2ccccc21,130.0,57600.0,51.0
COc1ccc(C(=O)N(C(C)C)C(C)C)cc1,[Li][Zn]([Li])([CH3])([CH3])([CH3])[c]1cccc2ccccc12,CC(C)N(CC(=O)c1ccc(-c2cccc3ccccc23)cc1)C(C)C,50.0,32400.0,45.0
COc1ccc2ccccc2c1,Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccc3ccccc3c2)cc1,60.0,86400.0,0.0
CCN(CC)C(=O)Oc1ccccc1/C=C/c1ccccc1,OB(O)c1ccccc1,C(=C\c1ccccc1-c1ccccc1)/c1ccccc1,150.0,36000.0,93.0
