reactant-1,reactant-2,reactant-3,reagent-1,reagent-2,reagent-3,reagent-4,reagent-5,catalyst-1,catalyst-2,solvent-1,solvent-2,product,lc_area_percent
Clc1cc(Cl)nc(Cl)n1,Cc1nn(C)cc1B1OC(C)(C)C(C)(C)O1,,[Cs+].[F-],O,,,,ClCCl.[Cl][Pd][Cl].[Fe].c1ccc(P(c2ccccc2)C2CCCC2)cc1.c1ccc(P(c2ccccc2)C2CCCC2)cc1,,CC#N,,Cc1nn(C)cc1-c1cc(Cl)nc(Cl)n1,56.0
O=C1NCCc2ccc(I)c(Cl)c21,Cc1cn(C)nn1,,CC(C)(C)C(=O)[O-].[Cs+],,,,,CC(=O)[O][Pd][O]C(C)=O,c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,,Cc1nnn(C)c1-c1ccc2c(c1Cl)C(=O)NCC2,35.0
Clc1cc(Cl)nc(N2CCOCC2)n1,CC1(C)OB(c2cnc(N)nc2)OC1(C)C,,O=C([O-])O.[Na+],O,,,,[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,,CC#N,,Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)cn1,91.0
CC(C)(C)OC(=O)N1CC[C@H]2O[C@H]2C1,NCc1ccccc1,,[Cl][Zr]([Cl])([Cl])[Cl],,,,,,,ClCCl,,CC(C)(C)OC(=O)N1CC[C@@H](NCc2ccccc2)[C@H](O)C1,0.0
CC(C)(C)OC(=O)N1CCc2cc(Br)cc(OCc3ccccc3)c2C1,[C-]#[O+],,CCN(C(C)C)C(C)C,,,,,CC(=O)[O][Pd][O]C(C)=O,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,CN(C)C=O,,CC(C)(C)OC(=O)N1CCc2cc(C=O)cc(OCc3ccccc3)c2C1,3.0
Cc1cnc(C(=O)N[C@H]2CCOC[C@@H]2O)cc1Cc1ccc(-c2cscn2)cc1,,,CC(C)(OO)c1ccccc1,c1c[nH]cn1,c1c[nH]cn1,,,Fc1c(F)c(F)c(C2=C3C=CC(=N3)C(c3c(F)c(F)c(F)c(F)c3F)=c3ccc4[n]3[Fe]([Cl])[n]3c2ccc3C(c2c(F)c(F)c(F)c(F)c2F)=C2C=CC(=N2)C=4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,,CC#N,ClCCCl,Cc1cnc(C(=O)N[C@H]2CCOC[C@@H]2O)cc1C(=O)c1ccc(-c2cscn2)cc1,0.0
O=C1NCCc2ccc(Br)c(Cl)c21,Cc1cn(C)nn1,,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,,,,,C1CCC(P(C2CCCCC2)N2CCCCC2)CC1.C1CCC(P(C2CCCCC2)N2CCCCC2)CC1.[Cl][Pd][Cl],,CN1CCCC1=O,,Cc1nnn(C)c1-c1ccc2c(c1Cl)C(=O)NCC2,10.0
COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1,,,CCN(C(C)C)C(C)C,,,,,,,CCO,O,COc1ccc(C2=C(C)c3ccc(OC)cc3OC2c2ccc(O)cc2)cc1,95.0
Cc1nn(-c2c(C#N)ncn2C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,,[Na+].[OH-],O,,,,ClCCl.[Cl][Pd][Cl].[Fe].c1ccc(P(c2ccccc2)C2CCCC2)cc1.c1ccc(P(c2ccccc2)C2CCCC2)cc1,,CO,,Cc1c2c(nn1-c1c(C#N)ncn1C)CN(C)C(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc-2cnc1N,2.0
Cc1c(Cl)cc2c(cnn2[C@H]2CCCCO2)c1B1OC(C)(C)C(C)(C)O1,C[C@H]1C=CC(=O)CC1,,CN1CCCN2CCCN=C12,,,,,C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl][Rh].[Cl][Rh],,C1COCCO1,O,Cc1ccc2c(cnn2C2CCCCO2)c1C1CCc2c(ncnc2N2CCN(C(=O)OC(C)(C)C)CC2)C1,2.0
