csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
2,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-00165ceb87ea439483f6e0d39a31ad2a,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1117,55289190e648e1bfe5fdd3f764a2af8ed213ab6f4fef9aee3153f5d2dec7df8d,science_hte_campaign_2a3be0de5f5e
3,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0062a5456bb746aabbb8cd3984e0cbda,ord_dataset-7d8f5fd922d4497d91cb81489b052746,289,267698543d996ff680f4515659c7409d0a750a54177e381edcb5d16fb9006825,science_hte_campaign_8510665e92be
4,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0074292afd3c44c1b294a1d3ddccc64e,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1041,1a7279fdc8cf34b6a6717ca4fd92440a27faf547baba253ad2c6f60948759dfa,science_hte_campaign_a04d9653a525
5,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-008a413e9aab4fdc84af6f534e3515b7,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1519,067a12f9dd444f69cf495e0af74feb5e04efed497147731a3043ec6be6749d14,science_hte_campaign_ca267bf88824
6,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-00920f63424d4a228e14dec391436893,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1107,5b575011300f0c9912f9dce95b15b8aeb7fddefcb8dce3ba7d47baa98bb19133,science_hte_campaign_2a3be0de5f5e
7,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-00933b65204144f1b78db092968084e5,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1266,790a851011c40cfd316f2bb3295f07577681b1aa0d4672894827d08bfafe694a,science_hte_campaign_62bdfe294f99
8,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0099d38286f04821b1f19c55cac33bea,ord_dataset-7d8f5fd922d4497d91cb81489b052746,898,8126027b80763c75d79d4a68f8e93efc6ee315274b20fe07cb18834f250c52da,science_hte_campaign_d8d10c924377
9,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-00df90db0b6c4e588b9a9735c46fad59,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1302,d8e638517f883ce19fb67c7b2339d11b784e5cd0e7d88db7d26c2d2d362c8819,science_hte_campaign_62bdfe294f99
10,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-00e5aa340d7e4f9fb34f6963cde992d9,ord_dataset-7d8f5fd922d4497d91cb81489b052746,127,ad825c994886e1b860fc7ee9a6b44a311d683c7650150c6ab87c4d16b3c70ded,science_hte_campaign_c99fb883b4d8
11,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-012377f3f9df432a9fa7a35c3412d7e6,ord_dataset-7d8f5fd922d4497d91cb81489b052746,480,338e71f048721122f5ad4cca20a6b5e9fc271c1cbf117efca6ed4ea6cff8e076,science_hte_campaign_283f403f90e1
