artifact_id,relative_path,object_type,size_bytes,mtime_ns,mode_octal,file_extension,media_type_candidate,sha256,hash_policy,symlink_target,role_candidate,needs_review,cache_candidate,scan_status
dataset-artifact-42579d3ff92cf96d54123f2a,processing,dir,0,1788500619977245219,0o775,<no_ext>,application/octet-stream,,directory_metadata,,unclassified_candidate,false,false,verified
dataset-artifact-21d8c8d4f4dd21af000c888d,processing/_needs_review,dir,0,1788500619977245219,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-1993cfafab829b00f457937c,processing/_needs_review/derived,dir,0,1788500798197718427,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-778844dc89d5d6a16e6e5354,processing/_needs_review/derived/csv,dir,0,1788500798198718458,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-e576f571743b2c0156f8c93e,processing/_needs_review/derived/csv-smoke,dir,0,1788500619945244239,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-55066ed8f716d7d4f699c586,processing/_needs_review/derived/csv-smoke/manifests,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,file,12364,1787654204297406920,0o664,.csv,text/csv,e436f3a4e89e1afdb616ea538a52a05e4d611c74ecf17dfff1c30d7a1490d6ef,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-ca8d3ad1c7ddf9e41665e35c,processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,file,19741,1787653444973623814,0o600,.csv,text/csv,ca3f2d586bcaaa1d8c821d2db125624cecec52032c51c839a91cb51bc13df366,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,file,10506,1787653444973513769,0o600,.csv,text/csv,68841e1340106932209864c215d2beca1d0c888d6a6681eae5e67123600c5863,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,file,4498,1787653444973877193,0o600,.csv,text/csv,c08bef6473ecbd4434199a3a0f62f5fa59610c45873324afdec89474733b0800,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,file,79271,1787653044409456282,0o600,.csv,text/csv,87218faacf8fc05699fe944e6d8835fc62cca26410aee25abdf19bab9c8d8407,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-f5eb9048e09b8a3e2e3a88d4,processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,file,93,1787654391741966895,0o600,.csv,text/csv,4e800c3caf902538a35bd65563b682b94ba2da8389586bbc125c50b2384b1bc2,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-a800f261db9dbfdd27401969,processing/_needs_review/derived/csv-smoke/tables,dir,0,1788500619945244239,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-23692a9381a7f536c28a1b8b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-7601eb2b9a566e2c10654dba,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,file,13167262,1787653755631322976,0o600,.csv,text/csv,17ab3232b6688840f5588df1c8dddc61a7dabbee86a99c33c562c03f9124f76a,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-512dbb06bcadc7cbe6a11c30,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-eaad3ddbd4b645dbe6c63792,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,file,27723379,1787653756603352802,0o600,.csv,text/csv,a49c9c12cfa5bcaa8a2570424ad157cc9a7ce9c171b59fe36c9ec409e3dcfc36,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-ec2a0085bdca869589605fae,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-279eb7386f7f6f194d40778e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,file,1649747,1787653756675355012,0o600,.csv,text/csv,7bf8b322d01d88a1acb324fee80a51c769d3e76e769794ee3a474635addd1d89,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-b46af5eff895b7404749f3cb,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-fda792247d61494e4df7a2d8,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,file,2257827,1787653756765357773,0o600,.csv,text/csv,33771856f8c9899c92d078d394cbcc9915ab24897d0d9a7eb8701e898105de43,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-23935727ad5c7ca7e8e4be4a,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-50d891322506298208478848,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,file,17466453,1787653757373376431,0o600,.csv,text/csv,ca185591fe871c14a04a19d5161053a228bbdf040fb601c32de83cdb214c8413,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-4884a69be67e2fef476aca67,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-46716691b60372374e5ff3ff,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,file,1121680,1787653757421377904,0o600,.csv,text/csv,1f7ee26f0b2298e720ddcca93ed76d1dc74b2198eff20c326b44119f14631ee7,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-5f7ed1dacbb68d378814b65d,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-a3c64bede55f23a136b5a54b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_00005539a1e04c809a9a78647bea649c/reactions.csv,file,2902696,1787653757506380512,0o600,.csv,text/csv,ab44dc0195ff5af36efbd0b9b77e3b284ab79e8cb1b0a7773b571a9a184c7c53,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-bd61be761af643448f79c65e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-4d762e4c500fd144c348cd31,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_0316886541d9435489859c2ad7edc863/reactions.csv,file,842569,1787653757535381403,0o600,.csv,text/csv,648a43db848a8a69d11cb58c3ed3eb1508af525f27c558d3a54597545fa12ce1,full_sha256,,quarantine_candidate,true,false,verified
dataset-artifact-53242ce3bbd83b4d7e693655,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6,dir,0,1788500798769146304,0o775,<no_ext>,application/octet-stream,,directory_metadata,,quarantine_candidate,true,false,verified
dataset-artifact-9c37ff120e239b874a266248,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=physical_10b940e7982c4622b1e1ac879394aba6/reactions.csv,file,1365230,1787653757586382968,0o600,.csv,text/csv,10ea96bf4cdf43ed16c1508b17b8fb0a530f78ebd46089500e465ebbe9653155,full_sha256,,quarantine_candidate,true,false,verified
