archive_stage,target_slug,artifact_role,staging_path,archive_path,size_bytes,sha256,payload_retention,disposition,license_id,reason
05-model-projection,ahneman-c-n-cross-coupling-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/dataset.csv,intermediate/05-model-projection/payload/ahneman-c-n-cross-coupling-yield-percent/dataset.csv,1271230,6a912585bb987ab698e2502585e1927403c372e10d8e3bcf8ce26f93c4021acf,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,asymmetric-alkylation-ee-s-minus-r-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/asymmetric-alkylation-ee-s-minus-r-percent/dataset.csv,intermediate/05-model-projection/payload/asymmetric-alkylation-ee-s-minus-r-percent/dataset.csv,303418,a589fdfe1f90e655bd9193983aa92264e0b86bfdb017c04836b5b933edc429c7,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,cernak-reductive-amination-conversion-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/cernak-reductive-amination-conversion-percent/dataset.csv,intermediate/05-model-projection/payload/cernak-reductive-amination-conversion-percent/dataset.csv,331171,0d25125e1cf707c839b93106b8131f8a836938b8d416e37698610f5bf8ee965e,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,cernak-suzuki-coupling-conversion-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/cernak-suzuki-coupling-conversion-percent/dataset.csv,intermediate/05-model-projection/payload/cernak-suzuki-coupling-conversion-percent/dataset.csv,314179,df6c85864b54120438f2fa0163bb5da00d7cc80ca1082499640b4b1bcae96ca9,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,cernak-ultra-hte-c-n-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/cernak-ultra-hte-c-n-yield-percent/dataset.csv,intermediate/05-model-projection/payload/cernak-ultra-hte-c-n-yield-percent/dataset.csv,12155576,ba845e82bb3701469aadf172a7457c64354b1e7d6f8e2ab1aad2b96c2445a012,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,chan-lam-sulfonamide-coupling-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent/dataset.csv,intermediate/05-model-projection/payload/chan-lam-sulfonamide-coupling-yield-percent/dataset.csv,1856612,648de1e73169feca1cc221f1f53858c11918f91c4f959e206f1a8a66ff4b482b,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,chemrxiv-aniline-amidation-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/chemrxiv-aniline-amidation-yield-percent/dataset.csv,intermediate/05-model-projection/payload/chemrxiv-aniline-amidation-yield-percent/dataset.csv,238260,90c762cff7defe31e7e45d35406df595d094186a0b35b05b0f799cfe66411f72,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,chemrxiv-imidazole-c-h-arylation-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/chemrxiv-imidazole-c-h-arylation-yield-percent/dataset.csv,intermediate/05-model-projection/payload/chemrxiv-imidazole-c-h-arylation-yield-percent/dataset.csv,394075,3d11901429869a5875d98ec4feec8239efbfa121c59d750a9bf8c04612906f7d,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,flow-catechol-product-2-response-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/flow-catechol-product-2-response-percent/dataset.csv,intermediate/05-model-projection/payload/flow-catechol-product-2-response-percent/dataset.csv,218696,d1a09d05fb70c93c221438761893f5f71f6390f94c49bef3973a42bcd9308c84,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,flow-catechol-product-3-response-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/flow-catechol-product-3-response-percent/dataset.csv,intermediate/05-model-projection/payload/flow-catechol-product-3-response-percent/dataset.csv,218760,5cc90e232268be1fc5e15330039927b90a13a4444df2347987d312612ea771d2,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,flow-catechol-total-product-response-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/flow-catechol-total-product-response-percent/dataset.csv,intermediate/05-model-projection/payload/flow-catechol-total-product-response-percent/dataset.csv,219467,9067b4cdce62de221a83ff15b095aadd6e110c4d143458917c7d6362bdbde397,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,nano-c-n-photochemistry-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/nano-c-n-photochemistry-yield-percent/dataset.csv,intermediate/05-model-projection/payload/nano-c-n-photochemistry-yield-percent/dataset.csv,370116,21b8072d3587bc8b1290124dafa6fdcdceee501980b6e6a3769aee6ead804d6d,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,nicolit-nickel-coupling-yield-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/nicolit-nickel-coupling-yield-percent/dataset.csv,intermediate/05-model-projection/payload/nicolit-nickel-coupling-yield-percent/dataset.csv,160767,51f705bdfc42ff0432cdb6288cda3ee9cbd6e2294c216fff13e5015e94b3deda,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,pfizer-hte-lc-area-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/pfizer-hte-lc-area-percent/dataset.csv,intermediate/05-model-projection/payload/pfizer-hte-lc-area-percent/dataset.csv,7026314,acc5860363baddd0fc24e87bb66e37d550b4cb8e1accf301f5f2aadb6d25758d,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
05-model-projection,photocatalytic-aryl-bromide-dehalogenation-conversion-percent,dataset.csv,.staging/ord-datasets-v0/step-13/datasets/model-ready/photocatalytic-aryl-bromide-dehalogenation-conversion-percent/dataset.csv,intermediate/05-model-projection/payload/photocatalytic-aryl-bromide-dehalogenation-conversion-percent/dataset.csv,238260,427e149d84943bb82adcf3066be751edd2418696bb8b972177e510663a1a2ef3,staging-content-addressed-reference,intermediate,CC-BY-SA-4.0,Exact sanitized step-13 target artifact retained by hash reference; payload is not copied into regular Git.
