artifact_id,old_path,size_bytes,sha256,review_disposition,canonical_artifact_id,canonical_old_path,dedup_relation,license_id,redistribution_status,release_inclusion,reason
dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,12364,e436f3a4e89e1afdb616ea538a52a05e4d611c74ecf17dfff1c30d7a1490d6ef,quarantined,dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,no_approved_external_canonical,NOASSERTION,blocked_pending_audit,not_in_initial_release,"License, sensitivity, relevance and reproducibility review is incomplete; payload remains quarantined."
dataset-artifact-ca8d3ad1c7ddf9e41665e35c,processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,19741,ca3f2d586bcaaa1d8c821d2db125624cecec52032c51c839a91cb51bc13df366,superseded,dataset-artifact-204bb234cb935bd69a54fccb,processing/derived/csv/manifests/logical_dataset_members.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,10506,68841e1340106932209864c215d2beca1d0c888d6a6681eae5e67123600c5863,quarantined,dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,no_approved_external_canonical,NOASSERTION,blocked_pending_audit,not_in_initial_release,"License, sensitivity, relevance and reproducibility review is incomplete; payload remains quarantined."
dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,4498,c08bef6473ecbd4434199a3a0f62f5fa59610c45873324afdec89474733b0800,quarantined,dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,no_approved_external_canonical,NOASSERTION,blocked_pending_audit,not_in_initial_release,"License, sensitivity, relevance and reproducibility review is incomplete; payload remains quarantined."
dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,79271,87218faacf8fc05699fe944e6d8835fc62cca26410aee25abdf19bab9c8d8407,quarantined,dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,no_approved_external_canonical,NOASSERTION,blocked_pending_audit,not_in_initial_release,"License, sensitivity, relevance and reproducibility review is incomplete; payload remains quarantined."
dataset-artifact-f5eb9048e09b8a3e2e3a88d4,processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,93,4e800c3caf902538a35bd65563b682b94ba2da8389586bbc125c50b2384b1bc2,superseded,dataset-artifact-4d3fe06a91e3e18ce471183d,processing/derived/csv/manifests/validation_report.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-7601eb2b9a566e2c10654dba,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,13167262,17ab3232b6688840f5588df1c8dddc61a7dabbee86a99c33c562c03f9124f76a,superseded,dataset-artifact-b74d4e300cad3ee374637c02,standardized/derived/csv/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-eaad3ddbd4b645dbe6c63792,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,27723379,a49c9c12cfa5bcaa8a2570424ad157cc9a7ce9c171b59fe36c9ec409e3dcfc36,superseded,dataset-artifact-94e04656cab5ac607196945e,standardized/derived/csv/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-279eb7386f7f6f194d40778e,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,1649747,7bf8b322d01d88a1acb324fee80a51c769d3e76e769794ee3a474635addd1d89,superseded,dataset-artifact-da39679b3c0b3dc65c807b25,standardized/derived/csv/tables/logical_dataset_id=lit_10_1039_c5sc04751j/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-fda792247d61494e4df7a2d8,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,2257827,33771856f8c9899c92d078d394cbcc9915ab24897d0d9a7eb8701e898105de43,superseded,dataset-artifact-5a3c029be64021d366a0b94e,standardized/derived/csv/tables/logical_dataset_id=lit_10_1039_c6re00153j/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-50d891322506298208478848,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,17466453,ca185591fe871c14a04a19d5161053a228bbdf040fb601c32de83cdb214c8413,superseded,dataset-artifact-c4d7c2ecfe0cf12fef939c12,standardized/derived/csv/tables/logical_dataset_id=lit_10_1126_science_1259203/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
dataset-artifact-46716691b60372374e5ff3ff,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,1121680,1f7ee26f0b2298e720ddcca93ed76d1dc74b2198eff20c326b44119f14631ee7,superseded,dataset-artifact-a7c35490989ac062ad2f91ec,standardized/derived/csv/tables/logical_dataset_id=lit_10_26434_chemrxiv_15001213/reactions.csv,byte_identical_to_non_review_canonical,NOASSERTION,blocked_pending_audit,excluded_duplicate,Legacy duplicate is excluded; the separately classified canonical object is referenced by SHA-256.
