artifact_id,old_path,object_type,size_bytes,mtime_ns,sha256,hash_policy,disposition,artifact_class,classification_rule_id,origin,license_candidate_id,redistribution_status,copyright_notice_candidate,new_path,target_path_status,step_owner,reason,duplicate_group_size,canonical_artifact_id,snapshot_manifest_sha256
dataset-artifact-42579d3ff92cf96d54123f2a,processing,dir,0,1788500619977245219,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-42579d3ff92cf96d54123f2a,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-42579d3ff92cf96d54123f2a,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-21d8c8d4f4dd21af000c888d,processing/_needs_review,dir,0,1788500619977245219,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-21d8c8d4f4dd21af000c888d,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-21d8c8d4f4dd21af000c888d,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-1993cfafab829b00f457937c,processing/_needs_review/derived,dir,0,1788500798197718427,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-1993cfafab829b00f457937c,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-1993cfafab829b00f457937c,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-778844dc89d5d6a16e6e5354,processing/_needs_review/derived/csv,dir,0,1788500798198718458,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-778844dc89d5d6a16e6e5354,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-778844dc89d5d6a16e6e5354,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-e576f571743b2c0156f8c93e,processing/_needs_review/derived/csv-smoke,dir,0,1788500619945244239,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-e576f571743b2c0156f8c93e,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-e576f571743b2c0156f8c93e,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-55066ed8f716d7d4f699c586,processing/_needs_review/derived/csv-smoke/manifests,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-55066ed8f716d7d4f699c586,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-55066ed8f716d7d4f699c586,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,file,12364,1787654204297406920,e436f3a4e89e1afdb616ea538a52a05e4d611c74ecf17dfff1c30d7a1490d6ef,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/export_partitions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",1,dataset-artifact-05dc61ed0b7c799c52f3a4de,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-ca8d3ad1c7ddf9e41665e35c,processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,file,19741,1787653444973623814,ca3f2d586bcaaa1d8c821d2db125624cecec52032c51c839a91cb51bc13df366,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_dataset_members.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-204bb234cb935bd69a54fccb,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,file,10506,1787653444973513769,68841e1340106932209864c215d2beca1d0c888d6a6681eae5e67123600c5863,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_datasets.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",1,dataset-artifact-ce3710c5942c94410e2a5b49,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,file,4498,1787653444973877193,c08bef6473ecbd4434199a3a0f62f5fa59610c45873324afdec89474733b0800,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/merge_decisions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",1,dataset-artifact-b57f247ba0f2ca649f0f60c4,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,file,79271,1787653044409456282,87218faacf8fc05699fe944e6d8835fc62cca26410aee25abdf19bab9c8d8407,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/source_evidence.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",1,dataset-artifact-4f5064b8eb0716aa2a891bfe,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-f5eb9048e09b8a3e2e3a88d4,processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,file,93,1787654391741966895,4e800c3caf902538a35bd65563b682b94ba2da8389586bbc125c50b2384b1bc2,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/validation_report.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-4d3fe06a91e3e18ce471183d,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-a800f261db9dbfdd27401969,processing/_needs_review/derived/csv-smoke/tables,dir,0,1788500619945244239,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-a800f261db9dbfdd27401969,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-a800f261db9dbfdd27401969,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-23692a9381a7f536c28a1b8b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-23692a9381a7f536c28a1b8b,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-23692a9381a7f536c28a1b8b,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-7601eb2b9a566e2c10654dba,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,file,13167262,1787653755631322976,17ab3232b6688840f5588df1c8dddc61a7dabbee86a99c33c562c03f9124f76a,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-b74d4e300cad3ee374637c02,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-512dbb06bcadc7cbe6a11c30,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1,dir,0,1788500798769146304,,directory_metadata,excluded,directory-entry,R00_DIRECTORY_METADATA_ONLY,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1,NOASSERTION,not_applicable,NOASSERTION,provenance/artifact-inventory.csv#dataset-artifact-512dbb06bcadc7cbe6a11c30,manifest_only,step-04,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.,1,dataset-artifact-512dbb06bcadc7cbe6a11c30,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
dataset-artifact-eaad3ddbd4b645dbe6c63792,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,file,27723379,1787653756603352802,a49c9c12cfa5bcaa8a2570424ad157cc9a7ce9c171b59fe36c9ec409e3dcfc36,full_sha256,quarantined,legacy-needs-review,R03_NEEDS_REVIEW_QUARANTINE,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,NOASSERTION,blocked_pending_audit,NOASSERTION,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s44160_023_00351_1/reactions.csv,planned_quarantine,step-18,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs.",2,dataset-artifact-94e04656cab5ac607196945e,ae4b3417bc989c98e4b5288ebabf032febe83722c13e60cd96918d890796a4bf
