artifact_id,old_path,object_type,size_bytes,sha256,disposition,artifact_class,origin,new_path,source_license_candidate_id,audited_license_id,audit_evidence_type,audit_evidence_ref,attribution_requirement,share_alike_requirement,redistribution_status_after_license_audit,release_allowlist_status,decision,rationale,license_text_path,next_gate
dataset-artifact-42579d3ff92cf96d54123f2a,processing,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing,provenance/artifact-inventory.csv#dataset-artifact-42579d3ff92cf96d54123f2a,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-21d8c8d4f4dd21af000c888d,processing/_needs_review,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review,provenance/artifact-inventory.csv#dataset-artifact-21d8c8d4f4dd21af000c888d,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-1993cfafab829b00f457937c,processing/_needs_review/derived,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived,provenance/artifact-inventory.csv#dataset-artifact-1993cfafab829b00f457937c,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-778844dc89d5d6a16e6e5354,processing/_needs_review/derived/csv,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv,provenance/artifact-inventory.csv#dataset-artifact-778844dc89d5d6a16e6e5354,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-e576f571743b2c0156f8c93e,processing/_needs_review/derived/csv-smoke,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke,provenance/artifact-inventory.csv#dataset-artifact-e576f571743b2c0156f8c93e,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-55066ed8f716d7d4f699c586,processing/_needs_review/derived/csv-smoke/manifests,dir,0,,excluded,directory-entry,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests,provenance/artifact-inventory.csv#dataset-artifact-55066ed8f716d7d4f699c586,NOASSERTION,NOASSERTION,directory_metadata_only,,not_applicable,not_applicable,not_selected_for_release,deny,not_selected,Directory entry is provenance metadata only; descendants are audited independently.,,none
dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,file,12364,e436f3a4e89e1afdb616ea538a52a05e4d611c74ecf17dfff1c30d7a1490d6ef,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/export_partitions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-ca8d3ad1c7ddf9e41665e35c,processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,file,19741,ca3f2d586bcaaa1d8c821d2db125624cecec52032c51c839a91cb51bc13df366,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_dataset_members.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,file,10506,68841e1340106932209864c215d2beca1d0c888d6a6681eae5e67123600c5863,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_datasets.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,file,4498,c08bef6473ecbd4434199a3a0f62f5fa59610c45873324afdec89474733b0800,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/merge_decisions.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,file,79271,87218faacf8fc05699fe944e6d8835fc62cca26410aee25abdf19bab9c8d8407,quarantined,legacy-needs-review,legacy-dataset-workspace:processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/source_evidence.csv,NOASSERTION,NOASSERTION,quarantine_no_blanket_license,,unresolved,unresolved,blocked_pending_artifact_audit,deny,quarantined_no_redistribution,"Quarantined legacy material has no blanket release permission; third-party, sensitive-data, relevance, duplication and license questions must be resolved per artifact.",,later-per-artifact-audit
