edge_id,from_artifact_id,to_artifact_id,transformation_id,relationship,status
edge-source-corpus-1,release-artifact-source-0c75d67751634f0594b24b9f498b77c2,release-artifact-corpus-shields-bayesian-arylation,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-2,release-artifact-source-d26118acda314269becc35db5c22dc59,release-artifact-corpus-shields-bayesian-arylation,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-3,release-artifact-source-172039a759a440219a68af62d203b79b,release-artifact-corpus-cernak-miniaturized-diversity-reactions,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-4,release-artifact-source-2be11f57f3304e678ea8469baf6dd1bc,release-artifact-corpus-cernak-miniaturized-diversity-reactions,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-5,release-artifact-source-3b8a2ef300e145468579027f206a3ac8,release-artifact-corpus-cernak-miniaturized-diversity-reactions,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-6,release-artifact-source-4d431564f3ef4e9c91d8da5836f4eae6,release-artifact-corpus-chemistry-informer-libraries,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-7,release-artifact-source-d319c2a22ecf4ce59db1a18ae71d529c,release-artifact-corpus-chemistry-informer-libraries,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-8,release-artifact-source-2038a3c967db4a32a8fbce288437e929,release-artifact-corpus-reizman-suzuki-miyaura-feedback-optimization,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-9,release-artifact-source-2be30f5d8dcd471aa6ad410bdee05902,release-artifact-corpus-reizman-suzuki-miyaura-feedback-optimization,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-10,release-artifact-source-31989f1b2b9d4885b1dd2d9982da4517,release-artifact-corpus-reizman-suzuki-miyaura-feedback-optimization,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-11,release-artifact-source-bc349c19b4384756a2aee8aa525b6c2a,release-artifact-corpus-reizman-suzuki-miyaura-feedback-optimization,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-12,release-artifact-source-7d8f5fd922d4497d91cb81489b052746,release-artifact-corpus-science-hte-palladium-cross-coupling,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-13,release-artifact-source-cbcc4048add7468e850b6ec42549c70d,release-artifact-corpus-science-hte-palladium-cross-coupling,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-14,release-artifact-source-c703268ea43a4c7e802c6048b6166b34,release-artifact-corpus-chemrxiv-decarboxylative-olefination-campaigns,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-15,release-artifact-source-dc0249930af34d17a3c76881a762aebf,release-artifact-corpus-chemrxiv-decarboxylative-olefination-campaigns,transform-step-11-corpus-staging,derived_from,complete
edge-source-corpus-16,release-artifact-source-00005539a1e04c809a9a78647bea649c,release-artifact-corpus-astrazeneca-eln-buchwald-hartwig-yields,transform-step-11-corpus-staging,derived_from,complete
