logical_dataset_id,dataset_slug,display_name_en,display_name_zh,relationship,physical_dataset_ids_json,member_count,reaction_count,license_id,naming_policy_version,source_url_count
lit_10_1038_s41586_021_03213_y,shields-bayesian-arylation,Shields Bayesian Arylation Optimization,Shields 贝叶斯芳基化优化,same_publication,"[""ord_dataset-0c75d67751634f0594b24b9f498b77c2"", ""ord_dataset-d26118acda314269becc35db5c22dc59""]",2,1984,CC-BY-SA-4.0,semantic-names-v1,2
lit_10_1038_s44160_023_00351_1,cernak-miniaturized-diversity-reactions,Cernak Miniaturized Diversity Reactions,Cernak 微型化多样性反应,same_publication,"[""ord_dataset-172039a759a440219a68af62d203b79b"", ""ord_dataset-2be11f57f3304e678ea8469baf6dd1bc"", ""ord_dataset-3b8a2ef300e145468579027f206a3ac8""]",3,2696,CC-BY-SA-4.0,semantic-names-v1,3
lit_10_1039_c5sc04751j,chemistry-informer-libraries,Chemistry Informer Libraries,化学信息员库,same_publication,"[""ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6"", ""ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c""]",2,354,CC-BY-SA-4.0,semantic-names-v1,2
lit_10_1039_c6re00153j,reizman-suzuki-miyaura-feedback-optimization,Reizman Suzuki-Miyaura Feedback Optimization,Reizman Suzuki-Miyaura 反馈优化,same_publication,"[""ord_dataset-2038a3c967db4a32a8fbce288437e929"", ""ord_dataset-2be30f5d8dcd471aa6ad410bdee05902"", ""ord_dataset-31989f1b2b9d4885b1dd2d9982da4517"", ""ord_dataset-bc349c19b4384756a2aee8aa525b6c2a""]",4,385,CC-BY-SA-4.0,semantic-names-v1,4
lit_10_1126_science_1259203,science-hte-palladium-cross-coupling,Science HTE Palladium Cross-Coupling,Science 高通量钯催化交叉偶联,same_publication,"[""ord_dataset-7d8f5fd922d4497d91cb81489b052746"", ""ord_dataset-cbcc4048add7468e850b6ec42549c70d""]",2,1824,CC-BY-SA-4.0,semantic-names-v1,2
lit_10_26434_chemrxiv_15001213,chemrxiv-decarboxylative-olefination-campaigns,ChemRxiv Decarboxylative Olefination Campaigns,ChemRxiv 脱羧烯烃化优化系列,same_publication,"[""ord_dataset-c703268ea43a4c7e802c6048b6166b34"", ""ord_dataset-dc0249930af34d17a3c76881a762aebf""]",2,256,CC-BY-SA-4.0,semantic-names-v1,2
physical_00005539a1e04c809a9a78647bea649c,astrazeneca-eln-buchwald-hartwig-yields,AstraZeneca ELN Buchwald-Hartwig Yields,阿斯利康 ELN Buchwald-Hartwig 产率,independent,"[""ord_dataset-00005539a1e04c809a9a78647bea649c""]",1,750,CC-BY-SA-4.0,semantic-names-v1,1
physical_0316886541d9435489859c2ad7edc863,newman-styrene-mizoroki-heck,Newman Styrene Mizoroki-Heck,Newman 苯乙烯 Mizoroki-Heck 偶联,independent,"[""ord_dataset-0316886541d9435489859c2ad7edc863""]",1,96,CC-BY-SA-4.0,semantic-names-v1,1
physical_10b940e7982c4622b1e1ac879394aba6,imidazopyridine-three-component-synthesis,Imidazopyridine Three-Component Synthesis,咪唑并吡啶三组分合成,independent,"[""ord_dataset-10b940e7982c4622b1e1ac879394aba6""]",1,384,CC-BY-SA-4.0,semantic-names-v1,1
physical_1158e351757f315b93cbcbe7bc55f38e,uspto-grants-reactions,USPTO Granted-Patent Reactions,USPTO 授权专利反应,independent,"[""ord_dataset-1158e351757f315b93cbcbe7bc55f38e""]",1,1771032,CC-BY-SA-4.0,semantic-names-v1,1
physical_1d3a1a6fb70d46c084602d0688967afc,newman-1-octene-mizoroki-heck,Newman 1-Octene Mizoroki-Heck,Newman 1-辛烯 Mizoroki-Heck 偶联,independent,"[""ord_dataset-1d3a1a6fb70d46c084602d0688967afc""]",1,96,CC-BY-SA-4.0,semantic-names-v1,1
physical_1ec2807f02fa4beda27d2a81b86eb843,flow-catechol-rearrangement,Flow Catechol Rearrangement,连续流儿茶酚重排,independent,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]",1,1227,CC-BY-SA-4.0,semantic-names-v1,1
physical_35a5a513f1dd44a3a97c88da99f81a00,automated-kinetic-profiling-hplc-optimization,Automated Kinetic Profiling HPLC Optimization,自动动力学 HPLC 优化,independent,"[""ord_dataset-35a5a513f1dd44a3a97c88da99f81a00""]",1,7,CC-BY-SA-4.0,semantic-names-v1,1
physical_3b5db90e337942ea886b8f5bc5e3aa72,nickel-suzuki-miyaura-cross-coupling,Nickel Suzuki-Miyaura Cross-Coupling,镍催化 Suzuki-Miyaura 交叉偶联,independent,"[""ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72""]",1,450,CC-BY-SA-4.0,semantic-names-v1,1
physical_46ff9a32d9e04016b9380b1b1ef949c3,ahneman-c-n-cross-coupling,Ahneman C-N Cross-Coupling,Ahneman C-N 交叉偶联,independent,"[""ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3""]",1,4312,CC-BY-SA-4.0,semantic-names-v1,1
physical_47eaacc46c3a4487bbdf99adb1a15e41,aichemeeco-amide-coupling-conditions,AIChemEco Amide-Coupling Conditions,AIChemEco 酰胺偶联条件,independent,"[""ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41""]",1,47015,CC-BY-SA-4.0,semantic-names-v1,1
physical_52bd3b0ec72c443aab113bcea09bf3f4,newman-vinyl-ether-mizoroki-heck,Newman Vinyl-Ether Mizoroki-Heck,Newman 乙烯醚 Mizoroki-Heck 偶联,independent,"[""ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4""]",1,96,CC-BY-SA-4.0,semantic-names-v1,1
physical_5415f83da68e4797856ddd330dda5c61,pyparser-oxazole-c-h-activation,PyParser Oxazole C-H Activation,PyParser 噁唑 C-H 活化,independent,"[""ord_dataset-5415f83da68e4797856ddd330dda5c61""]",1,48,CC-BY-SA-4.0,semantic-names-v1,1
physical_5540e162c09f4c04905ddc8ba9c931c6,copper-enantioselective-alkene-hydroamination,Copper Enantioselective Alkene Hydroamination,铜催化烯烃对映选择性氢胺化,independent,"[""ord_dataset-5540e162c09f4c04905ddc8ba9c931c6""]",1,3,CC-BY-SA-4.0,semantic-names-v1,1
physical_55de08a995554f558c25fc43eac62359,microwave-biginelli-condensation,Microwave Biginelli Condensation,微波辅助 Biginelli 缩合,independent,"[""ord_dataset-55de08a995554f558c25fc43eac62359""]",1,48,CC-BY-SA-4.0,semantic-names-v1,1
physical_5c9a10329a8a48968d18879a48bb8ab2,chan-lam-sulfonamide-boronic-acid-coupling,Chan-Lam Sulfonamide-Boronic-Acid Coupling,Chan-Lam 磺酰胺-硼酸偶联,independent,"[""ord_dataset-5c9a10329a8a48968d18879a48bb8ab2""]",1,9632,CC-BY-SA-4.0,semantic-names-v1,1
physical_5e8318f0dda04b398c14f4c3adfeb32c,aza-heck-impatien-a-ligand-screen,Aza-Heck Impatien A Ligand Screen,Impatien A 偶氮-Heck 配体筛选,independent,"[""ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c""]",1,24,CC-BY-SA-4.0,semantic-names-v1,1
physical_5eb7f2689f4a42eba63ad9e37e49a5cd,sulfonamide-flow-synthesis-library,Sulfonamide Flow-Synthesis Library,磺酰胺连续流合成库,independent,"[""ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd""]",1,39,CC-BY-SA-4.0,semantic-names-v1,1
physical_68cb8b4b2b384e3d85b5b1efae58b203,suzuki-miyaura-nanoscale-screen,Suzuki-Miyaura Nanoscale Screen,Suzuki-Miyaura 纳米尺度筛选,independent,"[""ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203""]",1,5760,CC-BY-SA-4.0,semantic-names-v1,1
physical_6a0bfcdf53a64c07987822162ae591e2,islatravir-biocatalytic-cascade,Islatravir Biocatalytic Cascade,Islatravir 生物催化级联,independent,"[""ord_dataset-6a0bfcdf53a64c07987822162ae591e2""]",1,3,CC-BY-SA-4.0,semantic-names-v1,1
physical_805ad863feef48579d95d86a728035f4,cernak-ultra-hte-c-n-coupling,Cernak Ultra-HTE C-N Coupling,Cernak 超高通量 C-N 偶联,independent,"[""ord_dataset-805ad863feef48579d95d86a728035f4""]",1,50688,CC-BY-SA-4.0,semantic-names-v1,1
physical_89b083710e2d441aa0040c361d63359f,sp3-carboxyl-aryl-halide-coupling,sp3-Carboxyl Aryl-Halide Coupling,sp3 羧基碳-芳基卤化物偶联,independent,"[""ord_dataset-89b083710e2d441aa0040c361d63359f""]",1,24,CC-BY-SA-4.0,semantic-names-v1,1
physical_8d1e28ec1f6b4ee8ad372e0b5ed7a62e,electroreductive-alkenyl-benzyl-halide-coupling,Electroreductive Alkenyl-Benzyl-Halide Coupling,电还原烯基-苄基卤化物偶联,independent,"[""ord_dataset-8d1e28ec1f6b4ee8ad372e0b5ed7a62e""]",1,27,CC-BY-SA-4.0,semantic-names-v1,1
physical_99c23cf435dc42f1af884053bc8b11c7,roche-borylation-surf,Roche Borylation SURF,罗氏硼化 SURF 数据集,independent,"[""ord_dataset-99c23cf435dc42f1af884053bc8b11c7""]",1,1111,CC-BY-SA-4.0,semantic-names-v1,1
physical_9b8aa9a7835143ef8ce3f70abfab7545,nicolit-nickel-cross-couplings,NiCOlit Nickel Cross-Couplings,NiCOlit 镍催化交叉偶联,independent,"[""ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545""]",1,1762,CC-BY-SA-4.0,semantic-names-v1,1
physical_a12fa15d036d489c971b0b514caeae52,golden-pyridine-nucleophile-cross-coupling,Golden Pyridine-Nucleophile Cross-Coupling,Golden 吡啶-亲核试剂交叉偶联,independent,"[""ord_dataset-a12fa15d036d489c971b0b514caeae52""]",1,288,CC-BY-SA-4.0,semantic-names-v1,1
physical_ac78456835404910b3a4c840248b6ac9,nano-c-n-photochemistry-informer,Nano C-N Photochemistry Informer,纳米 C-N 光化学信息员库,independent,"[""ord_dataset-ac78456835404910b3a4c840248b6ac9""]",1,1728,CC-BY-SA-4.0,semantic-names-v1,1
physical_b440f8c90b6343189093770060fc4098,photocatalytic-aryl-bromide-dehalogenation,Photocatalytic Aryl-Bromide Dehalogenation,光催化芳基溴脱卤,independent,"[""ord_dataset-b440f8c90b6343189093770060fc4098""]",1,1152,CC-BY-SA-4.0,semantic-names-v1,1
physical_c5b00523487a4211a194160edf45e9ab,asymmetric-alkylation-chemical-space,Asymmetric Alkylation Chemical Space,不对称烷基化化学空间,independent,"[""ord_dataset-c5b00523487a4211a194160edf45e9ab""]",1,1430,CC-BY-SA-4.0,semantic-names-v1,1
physical_ce5045aceb214cfc8bfd0ef3031e2737,newman-n-vinyl-pyrrolidone-mizoroki-heck,Newman N-Vinylpyrrolidone Mizoroki-Heck,Newman N-乙烯基吡咯烷酮 Mizoroki-Heck 偶联,independent,"[""ord_dataset-ce5045aceb214cfc8bfd0ef3031e2737""]",1,96,CC-BY-SA-4.0,semantic-names-v1,1
physical_d92976309c3a48a3a64a4cf5e7048086,pfizer-hte-reaction-conditions,Pfizer HTE Reaction Conditions,辉瑞高通量反应条件,independent,"[""ord_dataset-d92976309c3a48a3a64a4cf5e7048086""]",1,39347,CC-BY-SA-4.0,semantic-names-v1,1
physical_eeba974d3c284aed86d1c1d442260a1e,hte-suzuki-coupling,HTE Suzuki Coupling,高通量 Suzuki 偶联,independent,"[""ord_dataset-eeba974d3c284aed86d1c1d442260a1e""]",1,376,CC-BY-SA-4.0,semantic-names-v1,1
physical_fc83743b978f4deea7d6856deacbfe53,deoxyfluorination-screen,Deoxyfluorination Screen,脱氧氟化筛选,independent,"[""ord_dataset-fc83743b978f4deea7d6856deacbfe53""]",1,80,CC-BY-SA-4.0,semantic-names-v1,1
physical_feaf1b793c6d408aaec1cac7cc3ceadc,roche-minisci-surf,Roche Minisci SURF,罗氏 Minisci SURF 数据集,independent,"[""ord_dataset-feaf1b793c6d408aaec1cac7cc3ceadc""]",1,130,CC-BY-SA-4.0,semantic-names-v1,1
