artifact_id,target_slug,target_id,role,artifact_path,size_bytes,sha256,artifact_class,disposition,license_id,redistribution_status,origin,source_artifact_ids_json
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-audit,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,audit,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/audit.jsonl,3922370,51a45a5858b8b5ea0f068388fd2d7af3ace39f76f685e0f10054e368dfb87215,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-checksums,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,checksums,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/checksums.csv,810,de8629db08b050631733543f3759b5ca3f652eef8bacf64af7ccf91869a10fe8,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-dataset,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,dataset,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/dataset.csv,1271230,6a912585bb987ab698e2502585e1927403c372e10d8e3bcf8ce26f93c4021acf,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-exclusions,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,exclusions,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/exclusions.csv,85,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-metadata,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,metadata,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/metadata.json,3019,abdbf9a2550426144cdb3841721e9e6682e08ba1b40ffc0e798232420f72d794,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-row-map,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,row-map,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/row-map.csv,868893,a1cecd6b5d68702d2153c35c0d6c184f8a72f7b73b486bbc48cc1b07c15e9504,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-schema,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,schema,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/schema.json,1722,480b2573e565f5fc493a7d4dfb2bbd72e774309a39703f04cafaabf40cd6c943,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-source-links,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,source-links,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/source-links.json,934,5515acdb9b16a877afd0dbd3d9365904165a3cb1cf2e596f372fbb6755dd06e1,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-target-build-provenance,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,target-build-provenance,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/target-build-provenance.json,973,8eee8b8684f76a5ff7fbbded3ea783523155f2bd7efa700fdad5e352eb2f87b2,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
release-artifact-target-ahneman-c-n-cross-coupling-yield-percent-yonod-config,ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,yonod-config,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/yonod-config.json,3590,21b996518299c2f494798f7bfd2f85b41f29b82432e300a09b094b95689cc84b,model-ready,staged,CC-BY-SA-4.0,pending,step-13-model-ready-staging,"[""release-artifact-target-ahneman-c-n-cross-coupling-yield-percent""]"
