edge_id,from_artifact_id,to_artifact_id,transformation_id,relationship,status
edge-preview-source-reference-1,release-artifact-source-0c75d67751634f0594b24b9f498b77c2,release-artifact-corpus-reference-shields-bayesian-arylation,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-2,release-artifact-source-d26118acda314269becc35db5c22dc59,release-artifact-corpus-reference-shields-bayesian-arylation,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-3,release-artifact-source-2be11f57f3304e678ea8469baf6dd1bc,release-artifact-corpus-reference-cernak-miniaturized-diversity-reactions,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-4,release-artifact-source-3b8a2ef300e145468579027f206a3ac8,release-artifact-corpus-reference-cernak-miniaturized-diversity-reactions,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-5,release-artifact-source-7d8f5fd922d4497d91cb81489b052746,release-artifact-corpus-reference-science-hte-palladium-cross-coupling,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-6,release-artifact-source-1ec2807f02fa4beda27d2a81b86eb843,release-artifact-corpus-reference-flow-catechol-rearrangement,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-7,release-artifact-source-46ff9a32d9e04016b9380b1b1ef949c3,release-artifact-corpus-reference-ahneman-c-n-cross-coupling,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-8,release-artifact-source-5c9a10329a8a48968d18879a48bb8ab2,release-artifact-corpus-reference-chan-lam-sulfonamide-boronic-acid-coupling,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-9,release-artifact-source-68cb8b4b2b384e3d85b5b1efae58b203,release-artifact-corpus-reference-suzuki-miyaura-nanoscale-screen,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-10,release-artifact-source-805ad863feef48579d95d86a728035f4,release-artifact-corpus-reference-cernak-ultra-hte-c-n-coupling,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-11,release-artifact-source-99c23cf435dc42f1af884053bc8b11c7,release-artifact-corpus-reference-roche-borylation-surf,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-12,release-artifact-source-9b8aa9a7835143ef8ce3f70abfab7545,release-artifact-corpus-reference-nicolit-nickel-cross-couplings,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-13,release-artifact-source-ac78456835404910b3a4c840248b6ac9,release-artifact-corpus-reference-nano-c-n-photochemistry-informer,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-14,release-artifact-source-b440f8c90b6343189093770060fc4098,release-artifact-corpus-reference-photocatalytic-aryl-bromide-dehalogenation,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-15,release-artifact-source-c5b00523487a4211a194160edf45e9ab,release-artifact-corpus-reference-asymmetric-alkylation-chemical-space,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-16,release-artifact-source-d92976309c3a48a3a64a4cf5e7048086,release-artifact-corpus-reference-pfizer-hte-reaction-conditions,transform-model-ready-preview-rc,derived_from,complete
edge-preview-source-reference-17,release-artifact-source-675eddcaa6674ce3ae61e79bbc1e1c08,release-artifact-corpus-reference-chemrxiv-imidazole-arylation-and-aniline-amidation,transform-model-ready-preview-rc,derived_from,complete
