package_id,target_count,target_ids_json,target_statuses_json
lit_10_1038_s41586_021_03213_y,1,"[""shields_yield_percent""]","[""active_generated_pending_release_validation""]"
lit_10_1038_s44160_023_00351_1,2,"[""cernak_member_2be11_conversion_percent"", ""cernak_member_3b8a2e_conversion_percent""]","[""generated_pending_campaign_evaluation"", ""generated_pending_campaign_evaluation""]"
lit_10_1126_science_1259203,1,"[""science_hte_diverse_nucleophile_relative_lc_area_ratio""]","[""partial_scope_generated""]"
physical_1ec2807f02fa4beda27d2a81b86eb843,3,"[""catechol_product_2_yield_percent"", ""catechol_product_3_yield_percent"", ""catechol_total_product_yield_percent""]","[""research_only_benchmark_blocked"", ""research_only_benchmark_blocked"", ""research_only_benchmark_blocked""]"
physical_46ff9a32d9e04016b9380b1b1ef949c3,1,"[""ahneman_yield_percent""]","[""active_generated_pending_release_validation""]"
physical_5c9a10329a8a48968d18879a48bb8ab2,1,"[""chan_lam_yield_percent""]","[""generated_pending_campaign_evaluation""]"
physical_68cb8b4b2b384e3d85b5b1efae58b203,1,"[""suzuki_yield_percent""]","[""active_generated_pending_release_validation""]"
physical_805ad863feef48579d95d86a728035f4,1,"[""c_n_yield_percent""]","[""generated_pending_campaign_evaluation""]"
physical_99c23cf435dc42f1af884053bc8b11c7,1,"[""roche_borylation_yield_percent""]","[""generated_pending_campaign_evaluation""]"
physical_9b8aa9a7835143ef8ce3f70abfab7545,1,"[""nicolit_yield_percent""]","[""generated_with_source_caveat""]"
physical_ac78456835404910b3a4c840248b6ac9,1,"[""nano_yield_percent""]","[""active_generated_pending_release_validation""]"
physical_b440f8c90b6343189093770060fc4098,1,"[""photodehalogenation_conversion_percent""]","[""active_generated_pending_release_validation""]"
physical_c5b00523487a4211a194160edf45e9ab,1,"[""asymmetric_alkylation_ee_s_minus_r_percent""]","[""generated_adapter_blocked""]"
physical_d92976309c3a48a3a64a4cf5e7048086,1,"[""pfizer_lcms_area_percent""]","[""generated_pending_campaign_evaluation""]"
upstream_chemrxiv_64c7e2e1658ec5f7e5808425,2,"[""chemrxiv_amide_yield_percent"", ""chemrxiv_ch_arylation_yield_percent""]","[""active_generated_pending_release_validation"", ""active_generated_pending_release_validation""]"
