physical_dataset_id,source_file_id,upstream_path,source_file_url,upstream_revision,source_sha256,git_lfs_oid,size_bytes,reaction_count,license_id,verification_status
ord_dataset-00005539a1e04c809a9a78647bea649c,ord_dataset-00005539a1e04c809a9a78647bea649c,data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,bf1686ca6edac300a61acb5a5ee006ab5fd61007962ae19062b3d3c7879f84a9,bf1686ca6edac300a61acb5a5ee006ab5fd61007962ae19062b3d3c7879f84a9,274285,750,CC-BY-SA-4.0,verified
ord_dataset-0316886541d9435489859c2ad7edc863,ord_dataset-0316886541d9435489859c2ad7edc863,data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,786b10eb7815c92e07800b7005fbdd046f15158c834b05596c6b02d3d6d2128e,786b10eb7815c92e07800b7005fbdd046f15158c834b05596c6b02d3d6d2128e,24703,96,CC-BY-SA-4.0,verified
ord_dataset-0c75d67751634f0594b24b9f498b77c2,ord_dataset-0c75d67751634f0594b24b9f498b77c2,data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,00fe35e881dc9a02feaa9186eaf69a221a44f1a281ea1b01f593953ecd65ede6,00fe35e881dc9a02feaa9186eaf69a221a44f1a281ea1b01f593953ecd65ede6,29842,256,CC-BY-SA-4.0,verified
ord_dataset-10b940e7982c4622b1e1ac879394aba6,ord_dataset-10b940e7982c4622b1e1ac879394aba6,data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,79923835d81b529c5d771cd7dc0ad6707348e6ceecbe4528205c47bb6de1d044,79923835d81b529c5d771cd7dc0ad6707348e6ceecbe4528205c47bb6de1d044,43989,384,CC-BY-SA-4.0,verified
ord_dataset-1158e351757f315b93cbcbe7bc55f38e,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,d0fa5e21c621d16714bae1b9157022b5a3ea02db909a2af8d7b5b976f7c950b5,d0fa5e21c621d16714bae1b9157022b5a3ea02db909a2af8d7b5b976f7c950b5,1112719074,1771032,CC-BY-SA-4.0,verified
ord_dataset-172039a759a440219a68af62d203b79b,ord_dataset-172039a759a440219a68af62d203b79b,data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,e32594d22839eaae4554642845e4e9dfc6abcf4bcecece6b26f4be64ce3bf39c,e32594d22839eaae4554642845e4e9dfc6abcf4bcecece6b26f4be64ce3bf39c,21417,104,CC-BY-SA-4.0,verified
ord_dataset-1d3a1a6fb70d46c084602d0688967afc,ord_dataset-1d3a1a6fb70d46c084602d0688967afc,data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,9351ed4883b04c23505e6a1e8a3e216f90b7b79fd1ca72fd18f33c33a94e71b2,9351ed4883b04c23505e6a1e8a3e216f90b7b79fd1ca72fd18f33c33a94e71b2,11740,96,CC-BY-SA-4.0,verified
ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,b1fd81bb3034644117b7d07e0471ede7370597bb4bd2433dd4b5c20bf02fad99,b1fd81bb3034644117b7d07e0471ede7370597bb4bd2433dd4b5c20bf02fad99,99755,1227,CC-BY-SA-4.0,verified
ord_dataset-2038a3c967db4a32a8fbce288437e929,ord_dataset-2038a3c967db4a32a8fbce288437e929,data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,52dd1e2d44ff052592a9f78bd5c9aac454ad90ab7a7f2f9795c4e742f89644d3,52dd1e2d44ff052592a9f78bd5c9aac454ad90ab7a7f2f9795c4e742f89644d3,17627,96,CC-BY-SA-4.0,verified
ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,c7d17ab4af3551a4b2883c6e18c1f3a49b6c19d30d37fad762802aeeb275d948,c7d17ab4af3551a4b2883c6e18c1f3a49b6c19d30d37fad762802aeeb275d948,112943,1152,CC-BY-SA-4.0,verified
