dataset_slug,logical_dataset_id,row_count,reaction_payload_sha256,source_links_path,row_locator,two_hop_source_manifest
ahneman-c-n-cross-coupling,physical_46ff9a32d9e04016b9380b1b1ef949c3,4312,889ed18c722dde3ba1a2f0e745091f4a6e330c985e42a79369072dd288e9a27c,datasets/corpus/ahneman-c-n-cross-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
aichemeeco-amide-coupling-conditions,physical_47eaacc46c3a4487bbdf99adb1a15e41,47015,898a686aadf805f97b3660fdced6133ad51ffc4cac48db35fa88283b487ae60c,datasets/corpus/aichemeeco-amide-coupling-conditions/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
astrazeneca-eln-buchwald-hartwig-yields,physical_00005539a1e04c809a9a78647bea649c,750,a27ec65da5129e401247c840ab9ff7f23877ed7f1d54fe133aaa2ff48d42d241,datasets/corpus/astrazeneca-eln-buchwald-hartwig-yields/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
asymmetric-alkylation-chemical-space,physical_c5b00523487a4211a194160edf45e9ab,1430,77681a945d66fe8801d50bd75b2b3512d4f115c8d8d337b12a5e72b3f97ec4a1,datasets/corpus/asymmetric-alkylation-chemical-space/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
automated-kinetic-profiling-hplc-optimization,physical_35a5a513f1dd44a3a97c88da99f81a00,7,f65cae93bd38aa357f1da868d87c01d4cf92680f410bc9be66e9558aa586d91e,datasets/corpus/automated-kinetic-profiling-hplc-optimization/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
aza-heck-impatien-a-ligand-screen,physical_5e8318f0dda04b398c14f4c3adfeb32c,24,ed3ae842e0842644f12649ab6b98b7ea533fcdb1b30a924c6a243a11c0efabbf,datasets/corpus/aza-heck-impatien-a-ligand-screen/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
cernak-miniaturized-diversity-reactions,lit_10_1038_s44160_023_00351_1,2696,382ab2c212422db21075715eff0259ac57a92a5e9f6a8b1df7ee50dadaca91b1,datasets/corpus/cernak-miniaturized-diversity-reactions/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
cernak-ultra-hte-c-n-coupling,physical_805ad863feef48579d95d86a728035f4,50688,5ea9115349950fbd3e51d2cb5314d0f0b4cb07ea9250f2e01ea252f6bcb9152e,datasets/corpus/cernak-ultra-hte-c-n-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
chan-lam-sulfonamide-boronic-acid-coupling,physical_5c9a10329a8a48968d18879a48bb8ab2,9632,3b707a1f7b07b384dd7590cc374b38e505de2725f90088cb03c1846a6b3383c4,datasets/corpus/chan-lam-sulfonamide-boronic-acid-coupling/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
chemistry-informer-libraries,lit_10_1039_c5sc04751j,354,1c4bdf20e22eaa9518032320be27b11524c9ad8295e04b357443e7d4439303df,datasets/corpus/chemistry-informer-libraries/source-links.json,"physical_dataset_id,source_file,reaction_id,row_index",provenance/source-files.csv
