target_slug,target_id,logical_dataset_id,included_count,excluded_count,row_map_sha256,audit_sha256,exclusions_sha256,source_links_path,row_locator,two_hop_source_manifest
ahneman-c-n-cross-coupling-yield-percent,ahneman_yield_percent,physical_46ff9a32d9e04016b9380b1b1ef949c3,4312,0,a1cecd6b5d68702d2153c35c0d6c184f8a72f7b73b486bbc48cc1b07c15e9504,51a45a5858b8b5ea0f068388fd2d7af3ace39f76f685e0f10054e368dfb87215,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
asymmetric-alkylation-ee-s-minus-r-percent,asymmetric_alkylation_ee_s_minus_r_percent,physical_c5b00523487a4211a194160edf45e9ab,1430,0,a829c13773734275e8c368cf7a387334ad3e6e241ce45958eb7f6034155e87fb,d035af84551d3fbf4e6049b3250cfca72fbd53ea6c672311f74006c9cd349cf5,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,datasets/model-ready/asymmetric-alkylation-ee-s-minus-r-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
cernak-reductive-amination-conversion-percent,cernak_member_2be11_conversion_percent,lit_10_1038_s44160_023_00351_1,1152,0,9201530efa7e16260d50fecf09f53908640de8f91d27bc66ea1f281feebb719e,3f51edd588cfd439ed80b161e8e1607b25cea68faf7769f4104d6495dfa2d4c9,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,datasets/model-ready/cernak-reductive-amination-conversion-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
cernak-suzuki-coupling-conversion-percent,cernak_member_3b8a2e_conversion_percent,lit_10_1038_s44160_023_00351_1,1320,120,dce561fb9a6e632f141ea638e7a078466c8971d6480104b6719be30d6f7a7dfd,33c223ede6e04718cb342d266fbbb594f95846e2015d35d7847713505204901a,5ae11eca84432d9f83fff0aa5599c132241312bb3f0ee6b3044ada48b6ee28ba,datasets/model-ready/cernak-suzuki-coupling-conversion-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
cernak-ultra-hte-c-n-yield-percent,c_n_yield_percent,physical_805ad863feef48579d95d86a728035f4,50668,20,13fac23db2bd8b4c6ab4093a7ef70afe80c08aa0ea9c197ccf6b039db55ab0fe,3c3f98eb4f86f6ad7a419fd45582815af45bb6f29f3942f70018557d46820975,6aa89bbef99173f5b3b1297227ee2235236900613813655265771dbf3ce4fd33,datasets/model-ready/cernak-ultra-hte-c-n-yield-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
chan-lam-sulfonamide-coupling-yield-percent,chan_lam_yield_percent,physical_5c9a10329a8a48968d18879a48bb8ab2,9602,30,3c99c78f8e5e02044c4274a9ed94756af60ee597d51efe797cecbadfe4a7f6ef,8a3a14fb1b89994d3b7414dd1548595419fa4d413c908b6658e703d6ab817261,df62a4deb8d003ef572dafdd1e33705ba6db1e12f3f381516d263d4232ed3548,datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
chemrxiv-aniline-amidation-yield-percent,chemrxiv_amide_yield_percent,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,957,3,be63107c0184d74c9f9a7ce94a96c4c7aafa3ee21e3ec37c9f73a10e6343a38b,57db77438a16ba93c2d71c026c82d35eff6e843221a071b3e7731b442a7fc04b,2cf41e5f67c8f2932bd6acc9c33170f90a492213d26117ef9acb515c2e72528d,datasets/model-ready/chemrxiv-aniline-amidation-yield-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
chemrxiv-imidazole-c-h-arylation-yield-percent,chemrxiv_ch_arylation_yield_percent,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,1529,7,834e743133299f6acac97bd37d9a34ccca5e3ef92fa96e062a31e12c9a12870f,45ef40a04b51b0c0b4c55f66e72de3b66852eabb0044c69359f8b52bdbe1b0a6,8f47e75aea68776f95629257185ead1b25f8088098e25f2aa75b73edd8ec4db6,datasets/model-ready/chemrxiv-imidazole-c-h-arylation-yield-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
flow-catechol-product-2-response-percent,catechol_product_2_yield_percent,physical_1ec2807f02fa4beda27d2a81b86eb843,1227,0,16d61d8f56d8278be07a447031f8700ec6c5a2c02764c2f0191d86d3a76dc71f,96f627cda36b99f17be7e4bd8b17177661c84e6f0cd75fcf9d62f09f1f096388,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,datasets/model-ready/flow-catechol-product-2-response-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
flow-catechol-product-3-response-percent,catechol_product_3_yield_percent,physical_1ec2807f02fa4beda27d2a81b86eb843,1227,0,4089f9b99c44fc7bf8c06a5399a37378c28572da4f9f7bbb414bc51c56f21201,fb6280e62cda2401ae8d18ad2cd6ff984a973fe40e55ba97cd14e7134ad61a14,4db87054e05506fd5de5d774c6c8838094902ffa774d224d92780299eeee63a7,datasets/model-ready/flow-catechol-product-3-response-percent/source-links.json,"reaction_key,physical_dataset_id,source_row_index,label_decision_id",provenance/source-files.csv
