target_id,target_slug,display_name_en,display_name_zh,aliases_json,logical_dataset_id,corpus_directory_slug,physical_dataset_ids_json,physical_source_files_json,label_column,label_type,label_unit,target_adapter,label_policy,included_count,excluded_count,source_count,audit_count,campaign,artifact_status,package_initial_status,package_target_status,readiness_status,status_reason,target_manifest_sha256,standardized_schema_sha256,semantic_name_status,naming_policy_version,planned_target_path
shields_yield_percent,shields-arylation-yield-percent,Shields Arylation Yield (%),Shields 芳基化产率（%）,"[""shields_yield_percent"", ""shields_yield_structure_v1"", ""yield_percent"", ""generic""]",lit_10_1038_s41586_021_03213_y,shields-bayesian-arylation,"[""ord_dataset-0c75d67751634f0594b24b9f498b77c2"", ""ord_dataset-d26118acda314269becc35db5c22dc59""]","[""data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet"", ""data/d2/ord_dataset-d26118acda314269becc35db5c22dc59.parquet""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,generic,unique_structured_scalar_no_aggregation,1984,0,1984,1984,wave_a,generated,wave_a_active,wave_a_generated,active_generated_pending_release_validation,"Target files are generated from an active package, but release validation and downstream gates remain pending.",e3fd687a908449eaa715233f454401c6988a27f4fc55f1b9d693056f568845ca,01b7f6266eeae778f5e29e3eeef468cb67b7f8718d0ad72552cbf4f630a1ef52,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/shields-arylation-yield-percent
cernak_member_2be11_conversion_percent,cernak-reductive-amination-conversion-percent,Cernak Reductive-Amination Conversion (%),Cernak 还原胺化转化率（%）,"[""cernak_member_2be11_conversion_percent"", ""cernak_member_2be11_conversion_structure_v1"", ""conversion_percent"", ""cernak_conversion""]",lit_10_1038_s44160_023_00351_1,cernak-miniaturized-diversity-reactions,"[""ord_dataset-2be11f57f3304e678ea8469baf6dd1bc""]","[""data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet""]",conversion_percent,conversion_percent,percent conversion,cernak_conversion,unique_structured_scalar_no_aggregation,1152,0,1152,1152,wave_c,generated,wave_c_planned,wave_c_generated,generated_pending_campaign_evaluation,"Target files are generated; the package was initially planned rather than marked active, so campaign evaluation remains pending.",7952aceb17360a31f20285da8005fd390cc66025605f52fcfd253d980bba9d09,52c98e6b7842f6f49fcca84728de128dcf27863cbeed03c25bb50c606c4ac2a9,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/cernak-reductive-amination-conversion-percent
cernak_member_3b8a2e_conversion_percent,cernak-suzuki-coupling-conversion-percent,Cernak Suzuki-Coupling Conversion (%),Cernak Suzuki 偶联转化率（%）,"[""cernak_member_3b8a2e_conversion_percent"", ""cernak_member_3b8a2e_conversion_structure_v1"", ""conversion_percent"", ""cernak_conversion""]",lit_10_1038_s44160_023_00351_1,cernak-miniaturized-diversity-reactions,"[""ord_dataset-3b8a2ef300e145468579027f206a3ac8""]","[""data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet""]",conversion_percent,conversion_percent,percent conversion,cernak_conversion,unique_structured_scalar_no_aggregation,1320,120,1440,1440,wave_c,generated,wave_c_planned,wave_c_generated,generated_pending_campaign_evaluation,"Target files are generated; the package was initially planned rather than marked active, so campaign evaluation remains pending.",68c44428df64f1f617c78f1ff128f0b7fd61441d6736013e6eddabf1706c1040,9ea36bd8af548d3089666092af5a8eedd1cdddedc917ea3b0a3cb65712591372,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/cernak-suzuki-coupling-conversion-percent
science_hte_diverse_nucleophile_relative_lc_area_ratio,science-hte-relative-lc-area-ratio,Science HTE Relative LC Area Ratio,Science 高通量相对 LC 面积比,"[""science_hte_diverse_nucleophile_relative_lc_area_ratio"", ""science_hte_diverse_nucleophile_relative_lc_area_ratio_structure_v1"", ""relative_product_lc_area_ratio"", ""science_hte_relative_lc_area_ratio""]",lit_10_1126_science_1259203,science-hte-palladium-cross-coupling,"[""ord_dataset-7d8f5fd922d4497d91cb81489b052746""]","[""data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet""]",relative_product_lc_area_ratio,relative_lc_area_ratio,dimensionless ratio (product LC area / internal-standard LC area),science_hte_relative_lc_area_ratio,unique_structured_scalar_no_aggregation,1531,5,1536,1536,wave_d,generated,wave_d_blocked_partial,wave_d_generated_partial,partial_scope_generated,Generated target covers only its declared physical subset; it is not a complete logical-dataset benchmark.,afa527691c27adb966173e98bb33352640758898344e93361efdb6abf62ab1ea,dfd7876422cde7d9278c54b9a537d36e8007a5853c769445e4cbf7acb99f6365,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/science-hte-relative-lc-area-ratio
catechol_product_2_yield_percent,flow-catechol-product-2-response-percent,Flow Catechol Product 2 HPLC Response (%),连续流儿茶酚产物 2 HPLC 响应（%）,"[""catechol_product_2_yield_percent"", ""catechol_product_2_research_full_v1"", ""product_2_yield_percent"", ""catechol_multitarget_v1""]",physical_1ec2807f02fa4beda27d2a81b86eb843,flow-catechol-rearrangement,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",product_2_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,catechol_multitarget_v1,catechol_multitarget_v1:smiles_custom_name_hplc_yield,1227,0,1227,1227,wave_d_research_full_v1,generated,wave_d_blocked_domain,research_full_standardized_benchmark_blocked,research_only_benchmark_blocked,Generated research target lacks the required reliable run-group definition for batch benchmarking.,c11fbe2ee8a47a53e2ceb716a9c3fadbd8d728c11e39e635ea03a85f4c423885,58b5c8b23c33aa98fde3f26de8246df457cf8d45fa4bb1afe2536ca7079dc848,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/flow-catechol-product-2-response-percent
catechol_product_3_yield_percent,flow-catechol-product-3-response-percent,Flow Catechol Product 3 HPLC Response (%),连续流儿茶酚产物 3 HPLC 响应（%）,"[""catechol_product_3_yield_percent"", ""catechol_product_3_research_full_v1"", ""product_3_yield_percent"", ""catechol_multitarget_v1""]",physical_1ec2807f02fa4beda27d2a81b86eb843,flow-catechol-rearrangement,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",product_3_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,catechol_multitarget_v1,catechol_multitarget_v1:smiles_custom_name_hplc_yield,1227,0,1227,1227,wave_d_research_full_v1,generated,wave_d_blocked_domain,research_full_standardized_benchmark_blocked,research_only_benchmark_blocked,Generated research target lacks the required reliable run-group definition for batch benchmarking.,aa9c530d7b845b9172baa00c782c25181dc9bce0e7d84092a9c086e01bb5e453,bc0d609c64485e8119ff6efb3030eb9511a4ed086fdb916f1bb054a0c4cdab96,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/flow-catechol-product-3-response-percent
catechol_total_product_yield_percent,flow-catechol-total-product-response-percent,Flow Catechol Total-Product HPLC Response (%),连续流儿茶酚总产物 HPLC 响应（%）,"[""catechol_total_product_yield_percent"", ""catechol_total_product_research_full_v1"", ""total_product_yield_percent"", ""catechol_multitarget_v1""]",physical_1ec2807f02fa4beda27d2a81b86eb843,flow-catechol-rearrangement,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]","[""data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet""]",total_product_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,catechol_multitarget_v1,catechol_multitarget_v1:smiles_custom_name_hplc_yield,1227,0,1227,1227,wave_d_research_full_v1,generated,wave_d_blocked_domain,research_full_standardized_benchmark_blocked,research_only_benchmark_blocked,Generated research target lacks the required reliable run-group definition for batch benchmarking.,361c34b10ec1d8d3d765a3ff807d66c9555785df20113eca2268c6da09f0993a,9a660083ccee989ff7c280505e72725aa5d03964090c70d6f31dba9f5e0a4bdc,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/flow-catechol-total-product-response-percent
ahneman_yield_percent,ahneman-c-n-cross-coupling-yield-percent,Ahneman C-N Cross-Coupling Yield (%),Ahneman C-N 交叉偶联产率（%）,"[""ahneman_yield_percent"", ""ahneman_yield_structure_v1"", ""yield_percent"", ""generic""]",physical_46ff9a32d9e04016b9380b1b1ef949c3,ahneman-c-n-cross-coupling,"[""ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3""]","[""data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,generic,unique_structured_scalar_no_aggregation,4312,0,4312,4312,wave_a,generated,wave_a_active,wave_a_generated,active_generated_pending_release_validation,"Target files are generated from an active package, but release validation and downstream gates remain pending.",4ef7cb6263a28e2e40f4106ce6260a29184768b55458e6e88f2724a4839db845,480b2573e565f5fc493a7d4dfb2bbd72e774309a39703f04cafaabf40cd6c943,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/ahneman-c-n-cross-coupling-yield-percent
chan_lam_yield_percent,chan-lam-sulfonamide-coupling-yield-percent,Chan-Lam Sulfonamide-Coupling Yield (%),Chan-Lam 磺酰胺偶联产率（%）,"[""chan_lam_yield_percent"", ""chan_lam_yield_structure_v1"", ""yield_percent"", ""unique_desired_product""]",physical_5c9a10329a8a48968d18879a48bb8ab2,chan-lam-sulfonamide-boronic-acid-coupling,"[""ord_dataset-5c9a10329a8a48968d18879a48bb8ab2""]","[""data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,unique_desired_product,unique_structured_scalar_no_aggregation,9602,30,9632,9632,wave_b,generated,wave_b_planned,wave_b_generated,generated_pending_campaign_evaluation,"Target files are generated; the package was initially planned rather than marked active, so campaign evaluation remains pending.",edda22eaad09461fd3b354c96b72b6afe14accbdbae4e5d0e489bc6a2b232441,e6a61d75fdd4f867c6bd36c893e673c599b275849f19e1dc322b6f1926c43da0,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/chan-lam-sulfonamide-coupling-yield-percent
suzuki_yield_percent,suzuki-miyaura-nanoscale-yield-percent,Suzuki-Miyaura Nanoscale Yield (%),Suzuki-Miyaura 纳米尺度产率（%）,"[""suzuki_yield_percent"", ""suzuki_yield_structure_v1"", ""yield_percent"", ""generic""]",physical_68cb8b4b2b384e3d85b5b1efae58b203,suzuki-miyaura-nanoscale-screen,"[""ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203""]","[""data/68/ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203.parquet""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,generic,unique_structured_scalar_no_aggregation,5760,0,5760,5760,wave_a,generated,wave_a_active,wave_a_generated,active_generated_pending_release_validation,"Target files are generated from an active package, but release validation and downstream gates remain pending.",6ce863cc232d5a85b0b8d32ab002ff156271a07dd384e19d40d9e9d335ab27d2,b7be306c738e568aa6e1009857737bf9dcc170ac016498e86afb12229a02ff4f,approved_from_target_manifest,semantic-target-names-v1,datasets/model-ready/suzuki-miyaura-nanoscale-yield-percent
