physical_dataset_id,source_file,source_file_url,source_sha256,evidence_location
ord_dataset-00005539a1e04c809a9a78647bea649c,data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,bf1686ca6edac300a61acb5a5ee006ab5fd61007962ae19062b3d3c7879f84a9,intermediate/02-source-evidence/archive-index.csv
ord_dataset-0316886541d9435489859c2ad7edc863,data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,786b10eb7815c92e07800b7005fbdd046f15158c834b05596c6b02d3d6d2128e,intermediate/02-source-evidence/archive-index.csv
ord_dataset-0c75d67751634f0594b24b9f498b77c2,data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,00fe35e881dc9a02feaa9186eaf69a221a44f1a281ea1b01f593953ecd65ede6,intermediate/02-source-evidence/archive-index.csv
ord_dataset-10b940e7982c4622b1e1ac879394aba6,data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,79923835d81b529c5d771cd7dc0ad6707348e6ceecbe4528205c47bb6de1d044,intermediate/02-source-evidence/archive-index.csv
ord_dataset-1158e351757f315b93cbcbe7bc55f38e,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,d0fa5e21c621d16714bae1b9157022b5a3ea02db909a2af8d7b5b976f7c950b5,intermediate/02-source-evidence/archive-index.csv
ord_dataset-172039a759a440219a68af62d203b79b,data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,e32594d22839eaae4554642845e4e9dfc6abcf4bcecece6b26f4be64ce3bf39c,intermediate/02-source-evidence/archive-index.csv
ord_dataset-1d3a1a6fb70d46c084602d0688967afc,data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,9351ed4883b04c23505e6a1e8a3e216f90b7b79fd1ca72fd18f33c33a94e71b2,intermediate/02-source-evidence/archive-index.csv
ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,b1fd81bb3034644117b7d07e0471ede7370597bb4bd2433dd4b5c20bf02fad99,intermediate/02-source-evidence/archive-index.csv
ord_dataset-2038a3c967db4a32a8fbce288437e929,data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,52dd1e2d44ff052592a9f78bd5c9aac454ad90ab7a7f2f9795c4e742f89644d3,intermediate/02-source-evidence/archive-index.csv
ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,c7d17ab4af3551a4b2883c6e18c1f3a49b6c19d30d37fad762802aeeb275d948,intermediate/02-source-evidence/archive-index.csv
ord_dataset-2be30f5d8dcd471aa6ad410bdee05902,data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet,6846bf47bd0d9652d1164f1dbc65cf730502e117131778499b8a10a98ef828b7,intermediate/02-source-evidence/archive-index.csv
ord_dataset-31989f1b2b9d4885b1dd2d9982da4517,data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet,60f4f1bf9fd81166ce59e3ad8915310b0af5bca13956cab3b331748c1d3194dd,intermediate/02-source-evidence/archive-index.csv
