source_file_id,physical_dataset_id,upstream_repo_url,upstream_revision,upstream_path,source_file_url,direct_download_url,source_sha256,git_lfs_oid,size_bytes,reaction_count,dataset_name,dataset_description,data_license_id,source_present,hash_matches_lfs,verification_status
ord_dataset-00005539a1e04c809a9a78647bea649c,ord_dataset-00005539a1e04c809a9a78647bea649c,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet,,bf1686ca6edac300a61acb5a5ee006ab5fd61007962ae19062b3d3c7879f84a9,bf1686ca6edac300a61acb5a5ee006ab5fd61007962ae19062b3d3c7879f84a9,274285,750,750 AstraZeneca ELN dataset,This dataset includes 750 Buchwald-Hartwig reactions generated from AstraZeneca ELN which is used in yield prediction work: 10.26434/chemrxiv.14589498.v2,CC-BY-SA-4.0,true,true,verified
ord_dataset-0316886541d9435489859c2ad7edc863,ord_dataset-0316886541d9435489859c2ad7edc863,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet,,786b10eb7815c92e07800b7005fbdd046f15158c834b05596c6b02d3d6d2128e,786b10eb7815c92e07800b7005fbdd046f15158c834b05596c6b02d3d6d2128e,24703,96,Styrene Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",CC-BY-SA-4.0,true,true,verified
ord_dataset-0c75d67751634f0594b24b9f498b77c2,ord_dataset-0c75d67751634f0594b24b9f498b77c2,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet,,00fe35e881dc9a02feaa9186eaf69a221a44f1a281ea1b01f593953ecd65ede6,00fe35e881dc9a02feaa9186eaf69a221a44f1a281ea1b01f593953ecd65ede6,29842,256,Shields Arylation,"Reactions from Shields, B.J., Stevens, J., Li, J. et al. Bayesian reaction optimization as a tool for chemical synthesis. Nature 590, 89–96 (2021). https://doi.org/10.1038/s41586-021-03213-y",CC-BY-SA-4.0,true,true,verified
ord_dataset-10b940e7982c4622b1e1ac879394aba6,ord_dataset-10b940e7982c4622b1e1ac879394aba6,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet,,79923835d81b529c5d771cd7dc0ad6707348e6ceecbe4528205c47bb6de1d044,79923835d81b529c5d771cd7dc0ad6707348e6ceecbe4528205c47bb6de1d044,43989,384,Imidazopyridines dataset,Data form a 3 component reaction approach towards diverse imidazopyridines,CC-BY-SA-4.0,true,true,verified
ord_dataset-1158e351757f315b93cbcbe7bc55f38e,ord_dataset-1158e351757f315b93cbcbe7bc55f38e,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet,,d0fa5e21c621d16714bae1b9157022b5a3ea02db909a2af8d7b5b976f7c950b5,d0fa5e21c621d16714bae1b9157022b5a3ea02db909a2af8d7b5b976f7c950b5,1112719074,1771032,uspto-grants,"Reactions extracted from USPTO granted patents (1976-present), originally distributed as monthly buckets and consolidated here into a single dataset. Per-reaction patent provenance is available via Reaction.provenance.patent.",CC-BY-SA-4.0,true,true,verified
ord_dataset-172039a759a440219a68af62d203b79b,ord_dataset-172039a759a440219a68af62d203b79b,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet,,e32594d22839eaae4554642845e4e9dfc6abcf4bcecece6b26f4be64ce3bf39c,e32594d22839eaae4554642845e4e9dfc6abcf4bcecece6b26f4be64ce3bf39c,21417,104,Cernak miniaturized N-alkylation with BOC deprotection,"Miniaturized N-alkylation and BOC deprotection. From Time Cernak and Merck publication 10.1038/s44160-023-00351-1. Contains 96 alkylations with in situ BOC deprotection, which are a full factorial combination of 2 secondary amine cores, 12 electrophiles, and 4 bases. A further 8 control reactions (REACTION_TYPE = ""BOC deprotection"") test the BOC deprotection of the two core reactants in the presence of the 4 bases without electrophiles.",CC-BY-SA-4.0,true,true,verified
ord_dataset-1d3a1a6fb70d46c084602d0688967afc,ord_dataset-1d3a1a6fb70d46c084602d0688967afc,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet,,9351ed4883b04c23505e6a1e8a3e216f90b7b79fd1ca72fd18f33c33a94e71b2,9351ed4883b04c23505e6a1e8a3e216f90b7b79fd1ca72fd18f33c33a94e71b2,11740,96,1-octene Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",CC-BY-SA-4.0,true,true,verified
ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet,,b1fd81bb3034644117b7d07e0471ede7370597bb4bd2433dd4b5c20bf02fad99,b1fd81bb3034644117b7d07e0471ede7370597bb4bd2433dd4b5c20bf02fad99,99755,1227,"Transient flow exploration of the effect of temperature, residence time and binary solvent ratios on a uni-molecular allyl substituted catechol reaction.","1,227 datapoints were collected in a series of transient flow ramps involving temperature [175 - 225 C], residence time [2 - 15 minutes] and binary solvent ratios of 24 solvents. HPLC yields reported for starting material and 2 products of the uni-molecular rearrangement of o-Bis(allyloxy)benzene. Reactions performed by SOLVE Chemistry in London (https://www.solvechemistry.com/) and published in https://doi.org/10.48550/arXiv.2506.07619.",CC-BY-SA-4.0,true,true,verified
ord_dataset-2038a3c967db4a32a8fbce288437e929,ord_dataset-2038a3c967db4a32a8fbce288437e929,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet,,52dd1e2d44ff052592a9f78bd5c9aac454ad90ab7a7f2f9795c4e742f89644d3,52dd1e2d44ff052592a9f78bd5c9aac454ad90ab7a7f2f9795c4e742f89644d3,17627,96,Reizman Suzuki Cross-Coupling,"Reactions from Reizman, et al. Suzuki–Miyaura cross-coupling optimization enabled by automated feedback. React. Chem. Eng., 2016,1, 658-666; https://doi.org/10.1039/C6RE00153J",CC-BY-SA-4.0,true,true,verified
ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,https://github.com/open-reaction-database/ord-data.git,83f971f586f6ad18f358ae4ae99d045e94ed2066,data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet,,c7d17ab4af3551a4b2883c6e18c1f3a49b6c19d30d37fad762802aeeb275d948,c7d17ab4af3551a4b2883c6e18c1f3a49b6c19d30d37fad762802aeeb275d948,112943,1152,Cernak miniaturized reductive amination,"Miniaturized reductive aminations of staurosporine with aldehydes and ketones. From Time Cernak and Merck publication 10.1038/s44160-023-00351-1. Contains 2 subsets defined by 'experiment set', with 'optimisation' being a screen of 16 aldehydes/ketones and 48 reaction conditions, and 'library synthesis' being a screen of 48 aldehydes and 8 reaction conditions.",CC-BY-SA-4.0,true,true,verified
