target_id,target_slug,logical_dataset_id,physical_dataset_ids_json,label_column,label_type,label_unit,included_count,excluded_count,source_count,readiness_status,artifact_status,target_manifest_sha256
shields_yield_percent,shields-arylation-yield-percent,lit_10_1038_s41586_021_03213_y,"[""ord_dataset-0c75d67751634f0594b24b9f498b77c2"", ""ord_dataset-d26118acda314269becc35db5c22dc59""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,1984,0,1984,active_generated_pending_release_validation,generated,e3fd687a908449eaa715233f454401c6988a27f4fc55f1b9d693056f568845ca
cernak_member_2be11_conversion_percent,cernak-reductive-amination-conversion-percent,lit_10_1038_s44160_023_00351_1,"[""ord_dataset-2be11f57f3304e678ea8469baf6dd1bc""]",conversion_percent,conversion_percent,percent conversion,1152,0,1152,generated_pending_campaign_evaluation,generated,7952aceb17360a31f20285da8005fd390cc66025605f52fcfd253d980bba9d09
cernak_member_3b8a2e_conversion_percent,cernak-suzuki-coupling-conversion-percent,lit_10_1038_s44160_023_00351_1,"[""ord_dataset-3b8a2ef300e145468579027f206a3ac8""]",conversion_percent,conversion_percent,percent conversion,1320,120,1440,generated_pending_campaign_evaluation,generated,68c44428df64f1f617c78f1ff128f0b7fd61441d6736013e6eddabf1706c1040
science_hte_diverse_nucleophile_relative_lc_area_ratio,science-hte-relative-lc-area-ratio,lit_10_1126_science_1259203,"[""ord_dataset-7d8f5fd922d4497d91cb81489b052746""]",relative_product_lc_area_ratio,relative_lc_area_ratio,dimensionless ratio (product LC area / internal-standard LC area),1531,5,1536,partial_scope_generated,generated,afa527691c27adb966173e98bb33352640758898344e93361efdb6abf62ab1ea
catechol_product_2_yield_percent,flow-catechol-product-2-response-percent,physical_1ec2807f02fa4beda27d2a81b86eb843,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]",product_2_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,1227,0,1227,research_only_benchmark_blocked,generated,c11fbe2ee8a47a53e2ceb716a9c3fadbd8d728c11e39e635ea03a85f4c423885
catechol_product_3_yield_percent,flow-catechol-product-3-response-percent,physical_1ec2807f02fa4beda27d2a81b86eb843,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]",product_3_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,1227,0,1227,research_only_benchmark_blocked,generated,aa9c530d7b845b9172baa00c782c25181dc9bce0e7d84092a9c086e01bb5e453
catechol_total_product_yield_percent,flow-catechol-total-product-response-percent,physical_1ec2807f02fa4beda27d2a81b86eb843,"[""ord_dataset-1ec2807f02fa4beda27d2a81b86eb843""]",total_product_yield_percent,hplc_response_percent,HPLC percentage response; not isolated yield,1227,0,1227,research_only_benchmark_blocked,generated,361c34b10ec1d8d3d765a3ff807d66c9555785df20113eca2268c6da09f0993a
ahneman_yield_percent,ahneman-c-n-cross-coupling-yield-percent,physical_46ff9a32d9e04016b9380b1b1ef949c3,"[""ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,4312,0,4312,active_generated_pending_release_validation,generated,4ef7cb6263a28e2e40f4106ce6260a29184768b55458e6e88f2724a4839db845
chan_lam_yield_percent,chan-lam-sulfonamide-coupling-yield-percent,physical_5c9a10329a8a48968d18879a48bb8ab2,"[""ord_dataset-5c9a10329a8a48968d18879a48bb8ab2""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,9602,30,9632,generated_pending_campaign_evaluation,generated,edda22eaad09461fd3b354c96b72b6afe14accbdbae4e5d0e489bc6a2b232441
suzuki_yield_percent,suzuki-miyaura-nanoscale-yield-percent,physical_68cb8b4b2b384e3d85b5b1efae58b203,"[""ord_dataset-68cb8b4b2b384e3d85b5b1efae58b203""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,5760,0,5760,active_generated_pending_release_validation,generated,6ce863cc232d5a85b0b8d32ab002ff156271a07dd384e19d40d9e9d335ab27d2
c_n_yield_percent,cernak-ultra-hte-c-n-yield-percent,physical_805ad863feef48579d95d86a728035f4,"[""ord_dataset-805ad863feef48579d95d86a728035f4""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,50668,20,50688,generated_pending_campaign_evaluation,generated,c41c1d5c868885fefbc83391cabe570fabcc78f3c3bc42b6be176b56823b99fa
roche_borylation_yield_percent,roche-borylation-yield-percent,physical_99c23cf435dc42f1af884053bc8b11c7,"[""ord_dataset-99c23cf435dc42f1af884053bc8b11c7""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,890,221,1111,generated_pending_campaign_evaluation,generated,889757078019f419384982d873cb5795594ef3d7cab3fc4e191ad727a525ad42
nicolit_yield_percent,nicolit-nickel-coupling-yield-percent,physical_9b8aa9a7835143ef8ce3f70abfab7545,"[""ord_dataset-9b8aa9a7835143ef8ce3f70abfab7545""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,1669,93,1762,generated_with_source_caveat,generated,9bc1ff1f9dd8bf1d22cd99df399513af0a382b7505574d90f391e9e5617bc7ba
nano_yield_percent,nano-c-n-photochemistry-yield-percent,physical_ac78456835404910b3a4c840248b6ac9,"[""ord_dataset-ac78456835404910b3a4c840248b6ac9""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,1728,0,1728,active_generated_pending_release_validation,generated,3254e435999926efc70bcf548e66b39d303e3ebbaa549c68ef922717e465d075
photodehalogenation_conversion_percent,photocatalytic-aryl-bromide-dehalogenation-conversion-percent,physical_b440f8c90b6343189093770060fc4098,"[""ord_dataset-b440f8c90b6343189093770060fc4098""]",conversion_percent,conversion_percent,percent conversion,1152,0,1152,active_generated_pending_release_validation,generated,fb503dd8570712dc890bbbb6ef352e6c8bd07ffed6f44833174a1dc823bec490
asymmetric_alkylation_ee_s_minus_r_percent,asymmetric-alkylation-ee-s-minus-r-percent,physical_c5b00523487a4211a194160edf45e9ab,"[""ord_dataset-c5b00523487a4211a194160edf45e9ab""]",ee_s_minus_r_percent,signed_enantiomeric_excess_s_minus_r_percent,"percentage points, S minus R",1430,0,1430,generated_adapter_blocked,generated,887684dfa3ec3bcca452aae2e1db9c4ae2e47acf36b50cf4754bd8f411c2257f
pfizer_lcms_area_percent,pfizer-hte-lc-area-percent,physical_d92976309c3a48a3a64a4cf5e7048086,"[""ord_dataset-d92976309c3a48a3a64a4cf5e7048086""]",lc_area_percent,lc_uv_area_percent,LC/UV area percent; not isolated yield or conversion,39347,0,39347,generated_pending_campaign_evaluation,generated,01f0731a3adda3f3031834a4cdf27891acdeb6f660ddd310b250e7f3fac05900
chemrxiv_amide_yield_percent,chemrxiv-aniline-amidation-yield-percent,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,"[""ord_dataset-7acd6ad2bf4d4cff841cad008ab726d5""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,957,3,960,active_generated_pending_release_validation,generated,4c818d25beb24fed2b3f8d5b49f04b081b9066c03ca36a28cd3a49d51ef234c7
chemrxiv_ch_arylation_yield_percent,chemrxiv-imidazole-c-h-arylation-yield-percent,upstream_chemrxiv_64c7e2e1658ec5f7e5808425,"[""ord_dataset-675eddcaa6674ce3ae61e79bbc1e1c08""]",yield_percent,reaction_yield_percent,percent yield as defined by the source measurement,1529,7,1536,active_generated_pending_release_validation,generated,5386f4e9444d4822ab021763b892c115bb6cf2f51972c3dd9b704859c386def3
